ch_1,ch_2,ch_3,ch_4,ch_5,ch_6,ch_7,ch_8,ch_9,ch_10,ch_11,ch_12,ch_13,ch_14,label
4249.230769,4241.538462,4299.487179,4422.051282,4222.051282,4255.897436,4253.333333,4217.435897,4296.923077,4216.410256,4264.102564,4216.923077,4296.410256,4260.512821,Like
4253.333333,4253.333333,4303.589744,4423.589744,4224.615385,4235.384615,4248.205128,4210.25641,4278.461538,4229.230769,4266.153846,4225.641026,4304.615385,4254.871795,Like
4242.051282,4245.641026,4297.948718,4416.923077,4224.615385,4314.358974,4263.589744,4224.102564,4301.025641,4232.820513,4253.333333,4219.487179,4294.871795,4247.692308,Like
4238.461538,4236.923077,4295.897436,4416.410256,4224.615385,4354.358974,4280.0,4234.871795,4328.717949,4225.128205,4251.282051,4217.948718,4294.358974,4246.666667,Like
4249.74359,4248.205128,4301.025641,4421.025641,4229.230769,4318.974359,4275.384615,4222.051282,4310.25641,4215.384615,4250.769231,4223.589744,4303.076923,4245.128205,Like
4248.717949,4253.846154,4300.0,4417.948718,4226.153846,4238.974359,4249.230769,4209.230769,4268.205128,4213.333333,4240.512821,4216.923077,4297.435897,4241.025641,Like
4250.25641,4246.666667,4303.076923,4422.564103,4223.589744,4227.692308,4243.589744,4211.282051,4258.461538,4225.128205,4235.384615,4214.358974,4285.641026,4243.076923,Like
4256.923077,4243.589744,4308.717949,4423.589744,4224.102564,4329.74359,4280.512821,4230.25641,4296.410256,4233.333333,4233.846154,4221.538462,4295.384615,4240.0,Like
4248.717949,4237.435897,4302.051282,4421.538462,4224.615385,4340.0,4284.102564,4230.25641,4307.179487,4224.615385,4220.512821,4217.948718,4301.538462,4234.871795,Like
4243.589744,4239.487179,4298.974359,4426.153846,4224.102564,4260.512821,4256.923077,4213.846154,4274.871795,4221.538462,4220.512821,4214.358974,4299.487179,4233.333333,Like
4257.948718,4247.179487,4309.230769,4427.692308,4222.051282,4322.564103,4272.307692,4227.179487,4293.333333,4230.25641,4242.051282,4228.717949,4316.410256,4236.410256,Like
