ch_1,ch_2,ch_3,ch_4,ch_5,ch_6,ch_7,ch_8,ch_9,ch_10,ch_11,ch_12,ch_13,ch_14,label
4080.512821,4087.692308,4047.179487,4078.461538,4227.692308,4150.25641,4116.410256,4153.846154,4140.512821,4233.333333,4101.538462,4114.358974,4108.205128,4154.358974,Dislike
4078.461538,4095.384615,4046.666667,4082.051282,4222.564103,4151.794872,4117.948718,4156.923077,4145.641026,4226.666667,4118.974359,4111.282051,4104.615385,4152.307692,Dislike
4075.897436,4082.051282,4046.666667,4081.025641,4227.692308,4150.769231,4116.923077,4154.871795,4145.128205,4223.589744,4114.871795,4109.74359,4093.333333,4154.358974,Dislike
4075.897436,4082.051282,4044.615385,4084.102564,4228.205128,4149.74359,4120.0,4154.871795,4146.153846,4230.25641,4116.923077,4106.666667,4092.307692,4163.076923,Dislike
4082.051282,4096.923077,4048.717949,4089.230769,4228.205128,4155.897436,4130.769231,4158.974359,4147.692308,4232.820513,4140.512821,4112.307692,4098.974359,4168.717949,Dislike
4075.897436,4087.179487,4049.74359,4083.589744,4228.717949,4158.461538,4130.25641,4153.846154,4137.435897,4229.74359,4144.102564,4111.282051,4087.179487,4164.102564,Dislike
4060.512821,4068.717949,4041.025641,4076.410256,4222.564103,4144.102564,4116.923077,4142.564103,4131.282051,4231.282051,4135.384615,4099.487179,4070.25641,4163.076923,Dislike
4062.564103,4073.333333,4042.051282,4078.974359,4227.179487,4133.333333,4109.74359,4134.358974,4135.384615,4234.358974,4150.25641,4101.538462,4076.410256,4166.153846,Dislike
4068.205128,4081.025641,4044.615385,4084.615385,4227.692308,4141.538462,4117.948718,4134.871795,4143.076923,4231.794872,4161.025641,4101.025641,4081.538462,4159.487179,Dislike
4062.564103,4068.717949,4044.102564,4083.589744,4222.564103,4145.641026,4127.179487,4138.461538,4146.153846,4230.769231,4153.846154,4093.846154,4077.948718,4157.948718,Dislike
4052.820513,4057.435897,4039.487179,4078.974359,4224.615385,4134.358974,4121.538462,4135.897436,4144.102564,4231.282051,4149.74359,4091.282051,4084.615385,4161.025641,Dislike
