ch_1,ch_2,ch_3,ch_4,ch_5,ch_6,ch_7,ch_8,ch_9,ch_10,ch_11,ch_12,ch_13,ch_14,label
4234.358974,4224.102564,4237.435897,4216.923077,4227.692308,4250.769231,4242.051282,4247.692308,4251.282051,4233.333333,4233.846154,4210.25641,4222.564103,4240.512821,Dislike
4238.974359,4226.153846,4242.051282,4222.051282,4229.230769,4257.948718,4248.205128,4264.102564,4269.230769,4233.846154,4248.717949,4216.923077,4236.923077,4246.666667,Dislike
4242.051282,4233.846154,4245.641026,4231.282051,4226.153846,4257.435897,4249.230769,4265.641026,4268.717949,4232.820513,4246.666667,4219.487179,4234.358974,4244.615385,Dislike
4233.333333,4229.74359,4240.512821,4225.641026,4228.205128,4255.897436,4248.205128,4248.205128,4252.307692,4231.794872,4238.461538,4217.435897,4230.769231,4240.0,Dislike
4228.717949,4228.205128,4233.846154,4222.564103,4228.717949,4260.0,4246.666667,4245.641026,4250.769231,4231.282051,4234.871795,4212.307692,4231.282051,4241.025641,Dislike
4230.769231,4232.820513,4238.974359,4228.205128,4226.153846,4265.641026,4250.25641,4256.923077,4264.615385,4231.282051,4235.384615,4212.820513,4231.282051,4242.051282,Dislike
4223.076923,4226.666667,4241.538462,4221.538462,4226.666667,4262.051282,4251.282051,4253.333333,4264.615385,4231.282051,4234.871795,4212.820513,4230.769231,4240.0,Dislike
4211.282051,4219.487179,4232.820513,4212.820513,4227.179487,4253.333333,4242.564103,4244.615385,4251.794872,4231.794872,4230.25641,4203.589744,4230.769231,4239.487179,Dislike
4211.282051,4226.666667,4235.384615,4217.948718,4228.205128,4253.846154,4237.948718,4245.128205,4248.717949,4232.820513,4235.384615,4204.615385,4234.358974,4239.487179,Dislike
4215.897436,4232.820513,4244.102564,4220.0,4227.692308,4258.461538,4242.051282,4244.102564,4249.74359,4232.307692,4246.666667,4210.769231,4237.435897,4242.051282,Dislike
4214.871795,4226.666667,4244.102564,4217.435897,4228.717949,4255.384615,4243.589744,4241.025641,4247.179487,4232.307692,4238.974359,4207.692308,4233.846154,4247.692308,Dislike
4213.846154,4226.153846,4240.512821,4224.615385,4231.282051,4246.666667,4244.615385,4243.589744,4252.307692,4233.333333,4231.282051,4208.717949,4233.846154,4248.717949,Dislike
4214.871795,4234.871795,4238.461538,4230.25641,4227.179487,4247.179487,4248.717949,4252.307692,4265.641026,4233.333333,4235.384615,4213.333333,4236.923077,4243.589744,Dislike
4205.641026,4226.153846,4235.384615,4218.974359,4226.666667,4246.666667,4247.179487,4255.384615,4266.153846,4231.282051,4233.333333,4205.641026,4231.282051,4238.974359,Dislike
4198.461538,4211.282051,4230.25641,4211.282051,4227.692308,4241.538462,4244.102564,4252.820513,4261.025641,4231.282051,4235.384615,4204.615385,4226.153846,4242.051282,Dislike
4207.692308,4222.051282,4233.846154,4224.102564,4226.153846,4243.076923,4248.205128,4258.974359,4270.769231,4233.846154,4249.74359,4218.974359,4235.897436,4249.74359,Dislike
4211.282051,4233.846154,4232.820513,4230.25641,4226.153846,4245.128205,4246.666667,4261.025641,4271.282051,4233.333333,4246.666667,4215.384615,4242.051282,4244.102564,Dislike
4203.076923,4224.102564,4228.717949,4219.487179,4225.128205,4244.615385,4235.897436,4250.25641,4257.435897,4231.794872,4230.769231,4201.025641,4236.410256,4235.897436,Dislike
4201.025641,4214.871795,4232.307692,4214.871795,4229.230769,4241.025641,4230.25641,4239.487179,4253.846154,4232.307692,4230.25641,4203.076923,4232.820513,4240.0,Dislike
4202.051282,4214.871795,4230.769231,4211.794872,4229.74359,4233.333333,4237.435897,4237.435897,4252.307692,4232.820513,4231.794872,4206.666667,4231.794872,4245.641026,Dislike
4205.128205,4218.974359,4228.205128,4211.794872,4225.641026,4231.794872,4245.128205,4236.923077,4245.641026,4232.307692,4234.871795,4203.076923,4236.410256,4246.666667,Dislike
4214.871795,4226.666667,4234.358974,4222.051282,4227.179487,4244.102564,4249.74359,4242.564103,4250.25641,4232.307692,4248.717949,4209.74359,4247.692308,4245.641026,Dislike
4220.0,4232.307692,4237.435897,4230.769231,4228.205128,4252.820513,4251.282051,4253.333333,4264.615385,4232.307692,4255.897436,4216.923077,4252.820513,4246.153846,Dislike
4215.384615,4227.179487,4234.358974,4228.717949,4227.179487,4245.128205,4241.538462,4249.74359,4264.102564,4232.307692,4246.666667,4210.769231,4246.153846,4247.692308,Dislike
4212.820513,4221.025641,4235.384615,4224.615385,4226.153846,4236.410256,4228.717949,4233.846154,4245.641026,4232.307692,4232.820513,4203.589744,4234.358974,4245.128205,Dislike
4216.923077,4223.076923,4235.897436,4224.615385,4228.717949,4235.384615,4231.794872,4230.769231,4236.923077,4232.307692,4233.846154,4207.179487,4230.769231,4242.051282,Dislike
4218.461538,4229.74359,4234.871795,4228.205128,4231.282051,4232.307692,4242.564103,4242.051282,4247.692308,4232.820513,4248.717949,4211.794872,4242.051282,4243.589744,Dislike
4216.410256,4233.333333,4236.410256,4231.794872,4227.692308,4228.205128,4243.076923,4241.538462,4256.410256,4232.307692,4256.923077,4214.358974,4253.333333,4244.615385,Dislike
4225.641026,4234.358974,4238.461538,4232.307692,4227.692308,4231.794872,4244.102564,4240.512821,4255.384615,4232.307692,4250.25641,4217.948718,4251.794872,4243.589744,Dislike
4231.282051,4230.25641,4235.897436,4231.794872,4229.230769,4234.871795,4245.641026,4245.641026,4251.794872,4233.333333,4237.435897,4213.333333,4241.025641,4243.076923,Dislike
4220.0,4220.0,4231.282051,4229.74359,4225.641026,4233.333333,4244.615385,4241.025641,4243.589744,4230.769231,4228.205128,4203.076923,4222.564103,4242.564103,Dislike
4218.974359,4220.512821,4230.769231,4227.692308,4225.128205,4233.846154,4247.179487,4243.589744,4244.102564,4229.230769,4226.666667,4206.153846,4213.846154,4243.589744,Dislike
4232.307692,4229.230769,4232.307692,4231.282051,4226.666667,4234.358974,4246.153846,4252.307692,4251.794872,4231.794872,4233.846154,4213.846154,4228.717949,4245.641026,Dislike
4230.769231,4224.615385,4230.769231,4228.205128,4229.74359,4229.230769,4230.769231,4237.948718,4238.974359,4232.307692,4238.974359,4209.230769,4240.512821,4247.692308,Dislike
4223.589744,4220.0,4229.230769,4221.538462,4230.25641,4228.205128,4215.897436,4220.512821,4224.102564,4232.307692,4243.076923,4204.102564,4244.615385,4247.692308,Dislike
4241.538462,4233.846154,4236.410256,4229.230769,4226.666667,4233.333333,4225.641026,4233.333333,4240.512821,4232.820513,4257.948718,4215.897436,4262.564103,4252.307692,Dislike
4263.589744,4249.74359,4249.230769,4244.615385,4226.666667,4236.410256,4245.128205,4250.769231,4260.0,4231.794872,4280.512821,4233.846154,4286.666667,4260.512821,Dislike
4264.615385,4251.282051,4248.205128,4245.128205,4224.615385,4235.384615,4246.153846,4252.307692,4258.461538,4231.282051,4291.794872,4233.846154,4303.076923,4263.589744,Dislike
4257.435897,4244.615385,4238.461538,4236.923077,4226.153846,4231.794872,4236.410256,4246.153846,4249.74359,4231.794872,4290.769231,4223.076923,4317.435897,4265.641026,Dislike
4257.948718,4240.512821,4239.487179,4239.487179,4228.717949,4232.820513,4240.512821,4244.102564,4247.692308,4230.769231,4295.384615,4222.051282,4324.102564,4267.692308,Dislike
4266.666667,4249.230769,4246.666667,4247.179487,4224.102564,4239.487179,4250.769231,4250.769231,4256.410256,4231.794872,4306.666667,4232.820513,4333.333333,4268.717949,Dislike
4274.358974,4257.948718,4251.794872,4249.230769,4226.666667,4242.051282,4250.25641,4261.025641,4264.102564,4233.846154,4317.435897,4243.589744,4351.794872,4274.871795,Dislike
4282.564103,4258.461538,4257.435897,4253.333333,4229.74359,4242.051282,4250.25641,4265.641026,4263.589744,4232.820513,4326.153846,4246.153846,4363.589744,4282.051282,Dislike
4292.820513,4259.487179,4262.564103,4258.974359,4227.179487,4242.051282,4251.282051,4262.564103,4268.205128,4231.794872,4326.666667,4250.25641,4363.589744,4284.615385,Dislike
4298.461538,4265.641026,4264.102564,4262.051282,4225.641026,4236.923077,4250.25641,4263.589744,4274.871795,4232.820513,4324.615385,4256.410256,4368.717949,4287.692308,Dislike
4295.384615,4264.102564,4264.102564,4263.076923,4226.666667,4230.25641,4248.717949,4267.692308,4269.230769,4232.307692,4332.307692,4256.410256,4378.974359,4290.769231,Dislike
