ch_1,ch_2,ch_3,ch_4,ch_5,ch_6,ch_7,ch_8,ch_9,ch_10,ch_11,ch_12,ch_13,ch_14,label
4168.205128,4196.923077,4165.641026,4194.358974,4227.179487,4167.692308,4169.74359,4178.461538,4172.820513,4224.102564,4200.512821,4244.615385,4161.538462,4221.025641,Like
4207.179487,4218.974359,4228.717949,4244.615385,4237.435897,4200.512821,4206.153846,4255.384615,4240.512821,4238.461538,4249.74359,4271.794872,4252.307692,4219.487179,Like
4226.153846,4223.589744,4270.769231,4274.871795,4216.410256,4241.538462,4245.641026,4291.794872,4274.871795,4235.384615,4265.641026,4267.692308,4293.846154,4217.948718,Like
4204.615385,4213.333333,4220.512821,4241.538462,4223.076923,4211.282051,4216.410256,4243.076923,4236.410256,4221.538462,4235.384615,4253.846154,4223.589744,4228.205128,Like
4181.538462,4203.589744,4180.0,4214.358974,4236.410256,4162.051282,4170.25641,4210.25641,4209.74359,4215.897436,4218.461538,4246.666667,4186.666667,4217.435897,Like
4187.179487,4201.025641,4202.051282,4224.102564,4224.102564,4171.282051,4178.974359,4217.435897,4203.589744,4228.717949,4227.179487,4255.897436,4215.897436,4216.410256,Like
4212.820513,4212.820513,4239.487179,4255.384615,4216.923077,4233.846154,4240.512821,4243.589744,4210.769231,4238.461538,4241.538462,4278.974359,4241.025641,4242.564103,Like
4214.871795,4215.897436,4247.692308,4270.25641,4212.820513,4262.564103,4270.769231,4274.358974,4242.051282,4225.641026,4244.102564,4265.128205,4241.538462,4239.487179,Like
4199.487179,4207.692308,4221.025641,4247.179487,4227.692308,4193.846154,4208.717949,4269.230769,4257.948718,4221.025641,4233.846154,4251.282051,4216.410256,4214.871795,Like
4200.512821,4203.076923,4225.128205,4247.692308,4231.282051,4173.333333,4204.615385,4270.769231,4251.794872,4232.820513,4238.974359,4261.025641,4231.282051,4207.179487,Like
4216.923077,4209.230769,4247.179487,4278.461538,4218.461538,4236.923077,4263.589744,4265.641026,4222.051282,4232.820513,4245.128205,4266.153846,4262.051282,4228.717949,Like
4221.025641,4215.384615,4234.871795,4280.0,4224.615385,4251.282051,4248.717949,4232.820513,4202.564103,4219.487179,4236.410256,4264.102564,4244.102564,4241.025641,Like
4211.282051,4205.641026,4222.564103,4263.589744,4224.102564,4218.974359,4215.897436,4248.205128,4241.025641,4219.487179,4240.512821,4254.871795,4237.435897,4226.666667,Like
4220.512821,4205.641026,4242.564103,4267.179487,4223.076923,4216.410256,4227.692308,4274.871795,4264.615385,4232.307692,4252.307692,4267.692308,4260.0,4231.282051,Like
4219.487179,4200.0,4248.205128,4263.076923,4214.358974,4236.923077,4242.051282,4248.205128,4225.128205,4226.666667,4238.461538,4267.179487,4247.179487,4235.384615,Like
4202.051282,4185.128205,4215.897436,4240.0,4210.25641,4220.512821,4221.538462,4218.974359,4197.948718,4220.0,4224.102564,4251.794872,4206.153846,4232.307692,Like
