ch_1,ch_2,ch_3,ch_4,ch_5,ch_6,ch_7,ch_8,ch_9,ch_10,ch_11,ch_12,ch_13,ch_14,label
4241.025641,4259.487179,4246.666667,4252.820513,4233.333333,4224.102564,4235.897436,4248.205128,4318.974359,4227.179487,4238.974359,4251.794872,4204.102564,4297.435897,Like
4220.0,4241.025641,4231.794872,4234.871795,4224.102564,4216.410256,4220.512821,4234.871795,4225.128205,4227.692308,4225.128205,4238.461538,4175.897436,4280.0,Like
4212.307692,4238.974359,4233.333333,4238.461538,4225.128205,4217.435897,4217.948718,4229.230769,4194.358974,4227.179487,4218.974359,4239.487179,4156.410256,4291.794872,Like
4232.820513,4243.589744,4241.025641,4242.051282,4230.769231,4220.512821,4229.74359,4236.410256,4251.794872,4227.179487,4224.615385,4245.641026,4180.512821,4295.897436,Like
4248.717949,4249.74359,4243.589744,4240.512821,4224.615385,4217.435897,4223.589744,4236.410256,4275.384615,4227.692308,4234.358974,4247.179487,4208.205128,4300.0,Like
4242.564103,4250.25641,4250.25641,4247.692308,4230.769231,4221.025641,4219.487179,4236.410256,4291.794872,4228.717949,4233.333333,4251.282051,4195.897436,4305.641026,Like
4259.487179,4253.333333,4245.641026,4250.25641,4224.615385,4216.410256,4249.230769,4243.076923,4306.666667,4228.717949,4238.974359,4253.333333,4223.076923,4308.717949,Like
4278.461538,4269.230769,4255.384615,4268.205128,4229.230769,4226.153846,4262.051282,4251.794872,4373.846154,4228.205128,4247.179487,4263.076923,4249.230769,4327.179487,Like
4255.897436,4246.666667,4247.692308,4251.794872,4232.307692,4226.153846,4224.102564,4240.512821,4321.538462,4229.74359,4230.769231,4250.769231,4211.282051,4307.692308,Like
4237.435897,4228.717949,4230.25641,4233.846154,4220.512821,4210.25641,4201.025641,4223.589744,4211.282051,4229.230769,4223.589744,4237.435897,4199.487179,4298.461538,Like
4269.230769,4257.435897,4254.871795,4261.025641,4231.794872,4221.025641,4243.589744,4241.538462,4324.615385,4227.692308,4243.589744,4258.974359,4258.974359,4322.564103,Like
4298.461538,4263.589744,4261.538462,4265.128205,4228.717949,4224.102564,4262.051282,4253.333333,4384.102564,4226.666667,4253.333333,4265.128205,4302.051282,4322.564103,Like
4271.794872,4246.153846,4240.512821,4257.948718,4227.692308,4215.384615,4220.512821,4235.897436,4308.205128,4227.179487,4248.205128,4253.846154,4276.923077,4318.461538,Like
4242.564103,4232.820513,4233.846154,4246.153846,4234.871795,4211.794872,4210.769231,4230.769231,4288.717949,4226.666667,4242.051282,4243.589744,4273.333333,4306.153846,Like
4251.794872,4234.871795,4236.923077,4240.512821,4223.589744,4208.717949,4230.769231,4238.461538,4302.564103,4227.179487,4245.641026,4243.076923,4299.487179,4308.205128,Like
4253.846154,4238.461538,4237.435897,4251.794872,4230.769231,4214.358974,4229.230769,4239.487179,4308.205128,4227.179487,4254.358974,4253.333333,4265.128205,4315.897436,Like
4238.461538,4223.076923,4228.205128,4240.0,4229.74359,4206.153846,4218.974359,4231.282051,4245.128205,4228.717949,4249.230769,4244.615385,4219.487179,4298.461538,Like
