ch_1,ch_2,ch_3,ch_4,ch_5,ch_6,ch_7,ch_8,ch_9,ch_10,ch_11,ch_12,ch_13,ch_14,label
4238.461538,4238.974359,4236.410256,4231.794872,4227.179487,4228.717949,4226.666667,4235.384615,4280.0,4232.307692,4233.846154,4188.205128,4252.307692,4261.025641,Like
4239.487179,4237.435897,4232.820513,4231.282051,4224.615385,4230.25641,4224.102564,4230.25641,4242.564103,4231.794872,4228.205128,4185.641026,4245.128205,4260.0,Like
4240.0,4232.307692,4231.794872,4230.769231,4229.230769,4225.128205,4226.153846,4231.282051,4269.74359,4231.794872,4224.102564,4191.282051,4242.051282,4263.076923,Like
4241.538462,4236.410256,4234.358974,4234.871795,4224.615385,4226.153846,4224.615385,4227.692308,4250.769231,4230.25641,4230.769231,4187.692308,4241.025641,4257.948718,Like
4241.025641,4240.0,4236.923077,4238.974359,4226.153846,4229.74359,4227.692308,4231.282051,4262.564103,4231.794872,4232.820513,4189.230769,4244.615385,4263.589744,Like
4244.102564,4238.974359,4240.0,4241.025641,4230.769231,4236.410256,4235.384615,4230.25641,4301.025641,4230.25641,4235.897436,4194.358974,4256.410256,4267.179487,Like
4237.435897,4230.25641,4233.333333,4232.307692,4225.128205,4234.871795,4231.794872,4224.615385,4248.717949,4231.282051,4236.410256,4192.307692,4251.282051,4262.051282,Like
4233.846154,4228.205128,4233.333333,4228.717949,4228.717949,4230.769231,4232.820513,4231.794872,4272.307692,4232.820513,4236.923077,4193.846154,4254.871795,4265.128205,Like
4233.333333,4230.769231,4231.794872,4231.282051,4225.128205,4230.769231,4229.230769,4228.205128,4247.692308,4228.717949,4233.333333,4188.205128,4249.74359,4265.128205,Like
4224.102564,4222.564103,4220.0,4218.974359,4225.641026,4226.666667,4224.102564,4226.153846,4196.410256,4227.692308,4217.948718,4182.051282,4228.205128,4265.128205,Like
4216.923077,4216.923077,4215.897436,4209.74359,4228.205128,4224.615385,4226.666667,4224.102564,4204.615385,4229.230769,4209.74359,4179.487179,4226.666667,4262.051282,Like
4206.153846,4207.692308,4207.179487,4204.102564,4220.512821,4221.025641,4222.051282,4215.384615,4147.179487,4231.282051,4205.641026,4173.333333,4217.948718,4261.025641,Like
4200.512821,4203.076923,4203.589744,4199.487179,4227.692308,4220.512821,4221.538462,4221.025641,4154.871795,4232.820513,4200.512821,4173.846154,4213.846154,4269.230769,Like
4207.179487,4210.769231,4212.307692,4204.615385,4226.153846,4224.615385,4225.128205,4218.974359,4163.589744,4229.74359,4203.589744,4174.358974,4218.974359,4269.230769,Like
4216.410256,4217.948718,4220.512821,4213.846154,4223.076923,4223.076923,4225.128205,4221.538462,4180.512821,4233.846154,4207.692308,4181.025641,4223.076923,4275.897436,Like
4233.333333,4229.230769,4230.769231,4228.717949,4228.205128,4229.230769,4228.205128,4227.179487,4250.25641,4233.846154,4216.410256,4190.769231,4240.0,4283.076923,Like
4236.923077,4231.794872,4230.25641,4230.769231,4223.076923,4235.897436,4228.205128,4221.538462,4226.666667,4227.179487,4221.025641,4188.205128,4240.0,4278.461538,Like
4234.358974,4226.666667,4233.846154,4223.076923,4225.641026,4235.384615,4233.846154,4226.666667,4250.769231,4230.25641,4222.051282,4190.25641,4237.435897,4282.051282,Like
4242.564103,4230.769231,4243.076923,4225.641026,4224.102564,4232.307692,4237.435897,4224.102564,4263.076923,4231.794872,4229.230769,4191.794872,4244.615385,4285.641026,Like
4242.051282,4229.230769,4241.025641,4226.666667,4223.076923,4228.717949,4232.820513,4222.564103,4248.205128,4231.282051,4230.769231,4191.794872,4244.615385,4290.25641,Like
4242.564103,4231.282051,4244.615385,4230.769231,4227.179487,4234.871795,4235.384615,4228.205128,4291.794872,4232.307692,4233.333333,4196.410256,4252.307692,4295.384615,Like
4248.717949,4237.435897,4244.102564,4233.846154,4224.102564,4237.948718,4235.384615,4221.025641,4262.564103,4230.25641,4235.897436,4195.384615,4249.74359,4291.794872,Like
4245.641026,4234.358974,4239.487179,4229.230769,4230.25641,4234.358974,4235.384615,4223.589744,4268.717949,4229.230769,4229.74359,4196.923077,4250.25641,4288.717949,Like
4235.384615,4228.717949,4236.410256,4225.641026,4228.205128,4232.820513,4231.282051,4220.512821,4244.102564,4228.717949,4225.641026,4191.794872,4246.666667,4282.051282,Like
4229.230769,4226.153846,4228.205128,4220.512821,4225.128205,4226.153846,4225.128205,4214.871795,4197.948718,4230.769231,4224.102564,4189.230769,4229.74359,4281.025641,Like
4234.871795,4231.794872,4232.307692,4226.153846,4230.25641,4228.205128,4231.282051,4221.025641,4249.230769,4231.794872,4227.179487,4192.820513,4238.974359,4277.948718,Like
4229.230769,4225.641026,4228.717949,4226.666667,4222.564103,4232.820513,4232.307692,4215.897436,4201.025641,4229.74359,4223.589744,4185.641026,4236.410256,4267.179487,Like
4216.923077,4214.871795,4218.974359,4211.282051,4225.641026,4229.74359,4231.282051,4215.897436,4175.897436,4231.794872,4216.410256,4183.076923,4222.051282,4269.230769,Like
4228.205128,4222.564103,4227.692308,4215.897436,4228.717949,4233.333333,4231.282051,4219.487179,4207.692308,4229.74359,4224.615385,4184.615385,4228.205128,4270.25641,Like
4234.871795,4226.153846,4232.307692,4226.666667,4223.589744,4235.384615,4229.230769,4221.538462,4205.641026,4231.282051,4228.717949,4186.666667,4235.384615,4268.205128,Like
4228.205128,4223.076923,4227.179487,4220.0,4229.74359,4231.794872,4233.333333,4221.538462,4234.358974,4233.333333,4228.205128,4189.230769,4241.538462,4268.717949,Like
4223.076923,4217.948718,4222.564103,4212.307692,4225.641026,4223.589744,4230.769231,4210.769231,4190.25641,4230.25641,4227.692308,4184.102564,4231.282051,4267.179487,Like
4226.666667,4217.948718,4227.692308,4216.923077,4225.641026,4222.051282,4228.717949,4220.0,4201.025641,4232.820513,4222.564103,4187.179487,4226.153846,4273.333333,Like
4231.794872,4227.692308,4233.846154,4227.179487,4226.666667,4235.897436,4232.307692,4226.153846,4237.435897,4231.794872,4224.615385,4190.25641,4236.410256,4273.333333,Like
4222.564103,4224.615385,4224.102564,4220.512821,4223.589744,4238.974359,4227.692308,4216.410256,4188.717949,4230.25641,4224.102564,4184.615385,4227.692308,4271.794872,Like
4221.538462,4217.948718,4223.076923,4214.358974,4229.230769,4234.871795,4228.205128,4217.948718,4216.410256,4232.820513,4223.589744,4187.179487,4227.179487,4274.871795,Like
4223.589744,4218.461538,4225.128205,4215.384615,4223.076923,4233.846154,4227.692308,4213.846154,4195.897436,4230.25641,4225.641026,4185.128205,4229.230769,4270.769231,Like
4217.948718,4217.435897,4223.076923,4213.333333,4224.102564,4234.358974,4224.102564,4218.461538,4186.666667,4231.282051,4223.589744,4185.128205,4226.153846,4277.948718,Like
4223.076923,4219.487179,4227.179487,4218.974359,4230.25641,4242.051282,4227.179487,4221.025641,4222.051282,4231.794872,4224.102564,4189.230769,4232.820513,4280.0,Like
4225.641026,4213.333333,4223.589744,4214.358974,4224.102564,4237.948718,4224.615385,4215.897436,4186.153846,4232.820513,4220.0,4184.615385,4225.128205,4277.948718,Like
4227.179487,4211.282051,4225.128205,4208.205128,4226.153846,4231.794872,4223.589744,4221.025641,4215.384615,4234.358974,4222.564103,4186.153846,4227.179487,4285.128205,Like
4227.692308,4217.435897,4225.128205,4210.769231,4222.051282,4234.358974,4219.487179,4216.410256,4194.871795,4230.25641,4228.205128,4185.641026,4230.25641,4285.641026,Like
4219.487179,4210.25641,4215.384615,4203.076923,4223.076923,4229.230769,4215.384615,4216.923077,4170.769231,4230.769231,4218.974359,4183.589744,4223.076923,4289.230769,Like
4224.102564,4206.666667,4223.076923,4204.615385,4226.666667,4229.74359,4217.948718,4221.025641,4210.769231,4231.794872,4216.410256,4185.641026,4229.230769,4291.282051,Like
4228.717949,4207.692308,4225.641026,4208.717949,4221.025641,4230.25641,4213.846154,4216.923077,4176.923077,4233.333333,4215.384615,4183.589744,4221.538462,4287.179487,Like
4218.974359,4205.128205,4216.923077,4200.0,4225.641026,4228.717949,4215.384615,4223.076923,4188.717949,4234.871795,4206.153846,4181.538462,4214.358974,4288.717949,Like
4211.282051,4203.589744,4212.307692,4196.410256,4223.589744,4232.307692,4217.948718,4221.025641,4175.897436,4230.25641,4211.282051,4176.410256,4215.384615,4285.641026,Like
4216.923077,4204.615385,4217.435897,4200.0,4223.589744,4230.769231,4217.435897,4222.051282,4176.923077,4230.769231,4222.564103,4184.102564,4221.025641,4289.74359,Like
4232.307692,4215.897436,4234.358974,4209.230769,4227.692308,4232.307692,4222.051282,4226.153846,4242.564103,4232.307692,4227.692308,4193.333333,4238.974359,4291.794872,Like
4229.230769,4216.923077,4230.25641,4209.74359,4222.051282,4236.410256,4223.589744,4221.538462,4210.769231,4231.794872,4227.179487,4184.615385,4235.897436,4283.589744,Like
