ch_1,ch_2,ch_3,ch_4,ch_5,ch_6,ch_7,ch_8,ch_9,ch_10,ch_11,ch_12,ch_13,ch_14,label
4228.717949,4257.435897,4308.717949,4236.923077,4227.692308,4250.25641,4237.435897,4314.358974,4222.564103,4226.153846,4264.615385,4246.666667,4267.179487,4211.282051,Dislike
4242.051282,4277.948718,4297.948718,4251.794872,4234.871795,4265.641026,4250.25641,4324.615385,4241.025641,4226.666667,4281.025641,4259.487179,4285.641026,4217.435897,Dislike
4240.512821,4273.846154,4279.487179,4243.589744,4230.769231,4257.435897,4233.846154,4315.384615,4233.846154,4226.153846,4272.820513,4261.538462,4274.871795,4217.435897,Dislike
4226.666667,4245.641026,4305.641026,4218.974359,4233.846154,4239.487179,4235.897436,4307.692308,4210.769231,4225.641026,4243.076923,4266.153846,4245.128205,4220.0,Dislike
4217.948718,4243.589744,4317.435897,4221.538462,4228.205128,4239.487179,4227.692308,4304.102564,4202.051282,4226.153846,4243.076923,4270.25641,4255.384615,4215.384615,Dislike
4229.230769,4263.076923,4326.666667,4238.461538,4233.333333,4252.307692,4234.358974,4306.153846,4217.435897,4227.692308,4267.692308,4286.666667,4281.538462,4224.102564,Dislike
4236.410256,4269.230769,4328.205128,4239.487179,4234.871795,4253.846154,4241.538462,4317.948718,4227.179487,4227.179487,4274.358974,4292.307692,4275.384615,4226.153846,Dislike
4231.794872,4259.487179,4321.025641,4232.307692,4224.615385,4245.641026,4231.282051,4320.0,4221.538462,4227.179487,4266.153846,4273.846154,4264.102564,4219.487179,Dislike
4220.512821,4238.974359,4325.641026,4220.0,4234.358974,4241.025641,4241.538462,4315.384615,4212.820513,4228.205128,4253.333333,4254.871795,4257.948718,4213.333333,Dislike
4207.692308,4234.358974,4309.230769,4211.282051,4227.692308,4231.794872,4228.205128,4303.589744,4209.74359,4226.666667,4241.538462,4239.487179,4243.589744,4201.025641,Dislike
4224.615385,4256.410256,4317.435897,4221.025641,4226.153846,4233.846154,4231.794872,4303.589744,4225.641026,4227.692308,4246.153846,4250.25641,4252.820513,4213.333333,Dislike
