ch_1,ch_2,ch_3,ch_4,ch_5,ch_6,ch_7,ch_8,ch_9,ch_10,ch_11,ch_12,ch_13,ch_14,label
3713.333333,3851.282051,3687.179487,3601.025641,4223.076923,5473.333333,3735.384615,3695.384615,3453.333333,4232.820513,3926.666667,3783.589744,3511.282051,3928.205128,Dislike
3720.512821,3878.461538,3695.384615,3630.769231,4219.487179,5669.74359,3668.205128,3730.25641,3517.435897,4234.358974,3944.615385,3774.871795,3557.435897,3933.333333,Dislike
3728.717949,3905.641026,3699.487179,3627.179487,4224.102564,5740.512821,3665.128205,3753.846154,3618.974359,4235.384615,3946.666667,3784.102564,3662.051282,3936.923077,Dislike
3746.153846,3994.358974,3716.410256,3664.615385,4223.589744,5681.025641,3665.641026,3759.487179,3674.358974,4231.794872,3970.769231,3792.820513,3695.384615,3930.25641,Dislike
3741.025641,4063.076923,3712.307692,3707.692308,4222.051282,5580.512821,3665.128205,3760.0,3621.025641,4228.205128,3980.512821,3781.538462,3631.794872,3925.641026,Dislike
3709.230769,4046.666667,3677.435897,3686.666667,4219.487179,5547.692308,3688.717949,3760.512821,3501.025641,4227.179487,3952.820513,3751.282051,3595.897436,3910.25641,Dislike
3675.384615,3981.538462,3638.461538,3631.282051,4220.0,5534.358974,3727.179487,3747.692308,3450.25641,4231.794872,3938.974359,3734.871795,3601.025641,3896.923077,Dislike
3666.666667,3938.974359,3633.333333,3623.589744,4223.076923,5468.717949,3765.641026,3742.051282,3509.74359,4233.333333,3953.846154,3737.435897,3606.153846,3893.333333,Dislike
3658.461538,3913.333333,3632.820513,3633.846154,4216.410256,5418.974359,3796.410256,3761.538462,3546.153846,4231.794872,3952.307692,3722.051282,3594.358974,3882.051282,Dislike
3623.589744,3880.0,3603.076923,3605.128205,4218.461538,5447.179487,3823.076923,3778.974359,3520.0,4230.769231,3929.230769,3707.692308,3559.487179,3874.358974,Dislike
3625.128205,3894.871795,3606.153846,3616.410256,4220.0,5488.205128,3847.692308,3799.487179,3561.025641,4233.333333,3942.051282,3717.948718,3574.871795,3873.333333,Dislike
