ch_1,ch_2,ch_3,ch_4,ch_5,ch_6,ch_7,ch_8,ch_9,ch_10,ch_11,ch_12,ch_13,ch_14,label
4244.615385,4275.897436,4227.692308,4205.128205,4220.512821,4212.307692,4261.025641,4322.564103,4287.692308,4231.282051,4214.358974,4197.435897,4256.923077,4215.384615,Dislike
4220.512821,4249.230769,4213.846154,4198.461538,4222.564103,4207.179487,4236.410256,4289.230769,4258.974359,4231.282051,4196.410256,4187.179487,4230.769231,4213.333333,Dislike
4203.076923,4226.153846,4208.717949,4194.358974,4224.102564,4210.769231,4230.25641,4280.512821,4246.153846,4230.25641,4197.435897,4184.102564,4221.025641,4215.897436,Dislike
4195.897436,4222.564103,4205.128205,4189.230769,4221.538462,4211.794872,4242.051282,4297.948718,4249.230769,4230.769231,4206.153846,4183.076923,4227.179487,4214.871795,Dislike
4203.589744,4229.74359,4208.717949,4195.384615,4222.051282,4212.820513,4249.230769,4310.769231,4264.102564,4230.25641,4211.282051,4189.230769,4233.846154,4215.384615,Dislike
4208.717949,4227.179487,4211.282051,4189.74359,4222.564103,4211.282051,4234.358974,4300.0,4259.487179,4231.282051,4205.641026,4186.153846,4224.615385,4217.435897,Dislike
4221.538462,4237.435897,4223.076923,4198.974359,4223.076923,4216.410256,4232.820513,4298.974359,4261.025641,4231.794872,4209.230769,4191.282051,4230.25641,4220.512821,Dislike
4251.282051,4270.25641,4242.051282,4212.820513,4222.564103,4227.179487,4264.615385,4328.717949,4294.871795,4230.769231,4224.615385,4203.076923,4264.102564,4222.564103,Dislike
4242.051282,4263.589744,4232.307692,4205.641026,4222.051282,4222.051282,4263.589744,4325.641026,4288.717949,4229.74359,4209.74359,4194.358974,4254.871795,4221.025641,Dislike
4202.564103,4224.102564,4210.769231,4193.333333,4224.615385,4208.717949,4226.666667,4286.153846,4241.025641,4230.769231,4177.435897,4180.0,4204.615385,4217.435897,Dislike
4214.871795,4230.769231,4220.512821,4191.282051,4223.076923,4209.230769,4235.384615,4293.333333,4248.205128,4232.820513,4182.564103,4182.564103,4212.820513,4215.897436,Dislike
4225.128205,4240.0,4226.153846,4200.0,4225.641026,4220.512821,4249.74359,4303.589744,4267.179487,4232.307692,4196.410256,4191.282051,4231.282051,4221.025641,Dislike
4191.794872,4206.153846,4205.641026,4185.641026,4227.179487,4214.871795,4225.641026,4272.307692,4234.871795,4230.769231,4183.076923,4184.102564,4200.512821,4218.461538,Dislike
4183.076923,4196.923077,4198.461538,4175.897436,4223.589744,4203.589744,4222.051282,4273.846154,4225.128205,4230.25641,4175.897436,4179.487179,4191.282051,4214.871795,Dislike
4196.410256,4216.923077,4206.666667,4191.794872,4224.102564,4206.666667,4232.820513,4289.230769,4241.538462,4231.282051,4185.128205,4186.666667,4206.666667,4217.435897,Dislike
4207.179487,4235.897436,4214.358974,4193.333333,4222.564103,4213.846154,4234.358974,4281.538462,4249.74359,4229.74359,4197.435897,4186.153846,4213.846154,4216.923077,Dislike
4225.641026,4256.410256,4226.153846,4201.025641,4222.051282,4218.461538,4250.25641,4303.076923,4278.974359,4228.717949,4214.871795,4192.307692,4232.307692,4220.512821,Dislike
4230.25641,4261.538462,4225.128205,4206.153846,4224.102564,4220.512821,4267.179487,4336.410256,4301.025641,4230.769231,4221.538462,4191.794872,4242.051282,4222.051282,Dislike
4198.461538,4229.74359,4203.076923,4190.25641,4225.641026,4213.846154,4251.282051,4309.74359,4265.128205,4229.74359,4198.974359,4169.230769,4208.205128,4215.897436,Dislike
4175.897436,4200.0,4196.923077,4187.692308,4225.641026,4206.666667,4230.25641,4278.461538,4231.282051,4228.205128,4176.410256,4167.692308,4180.0,4212.820513,Dislike
4191.794872,4215.384615,4210.25641,4188.717949,4220.0,4210.769231,4234.871795,4294.358974,4245.641026,4228.205128,4178.461538,4175.897436,4201.538462,4217.435897,Dislike
