ch_1,ch_2,ch_3,ch_4,ch_5,ch_6,ch_7,ch_8,ch_9,ch_10,ch_11,ch_12,ch_13,ch_14,label
4160.512821,4150.25641,4181.025641,4158.974359,4217.948718,4249.74359,4284.102564,4232.307692,4228.205128,4218.974359,4236.923077,4236.410256,4154.871795,4217.435897,Dislike
4152.307692,4139.487179,4169.74359,4134.358974,4219.487179,4246.153846,4272.820513,4221.025641,4221.538462,4222.051282,4222.051282,4220.0,4141.538462,4215.897436,Dislike
4136.410256,4132.820513,4159.487179,4122.564103,4217.435897,4237.435897,4269.74359,4214.358974,4212.820513,4217.948718,4218.461538,4210.769231,4140.0,4209.230769,Dislike
4134.871795,4129.230769,4156.923077,4133.333333,4221.025641,4235.384615,4267.692308,4205.641026,4201.538462,4218.974359,4216.410256,4210.25641,4135.897436,4214.358974,Dislike
4145.128205,4127.179487,4156.410256,4136.923077,4225.128205,4237.435897,4266.666667,4202.051282,4198.974359,4221.025641,4213.333333,4209.74359,4128.205128,4223.589744,Dislike
4147.179487,4132.307692,4153.846154,4133.333333,4221.538462,4235.384615,4263.076923,4208.717949,4206.153846,4220.0,4220.512821,4210.769231,4129.230769,4221.025641,Dislike
4144.102564,4132.307692,4156.410256,4130.769231,4227.692308,4234.871795,4252.820513,4208.717949,4209.230769,4220.512821,4223.076923,4206.153846,4131.794872,4221.025641,Dislike
4147.179487,4130.25641,4153.846154,4130.25641,4224.615385,4236.923077,4250.769231,4210.769231,4208.205128,4220.512821,4223.589744,4201.538462,4143.589744,4217.948718,Dislike
4156.923077,4140.0,4151.282051,4140.0,4218.974359,4235.897436,4256.923077,4216.410256,4208.205128,4218.974359,4231.282051,4204.615385,4157.948718,4215.897436,Dislike
4158.974359,4143.589744,4154.358974,4150.769231,4225.641026,4234.358974,4257.948718,4213.333333,4209.74359,4217.435897,4230.25641,4206.666667,4152.307692,4220.512821,Dislike
4154.871795,4135.384615,4153.333333,4143.589744,4226.666667,4235.897436,4255.897436,4206.666667,4209.74359,4216.923077,4223.076923,4207.692308,4145.128205,4223.076923,Dislike
4154.358974,4128.717949,4151.794872,4129.74359,4226.153846,4232.307692,4254.358974,4202.564103,4204.615385,4217.948718,4225.641026,4209.230769,4155.384615,4229.74359,Dislike
4151.282051,4126.666667,4146.666667,4127.179487,4222.564103,4232.307692,4254.871795,4201.538462,4201.538462,4217.435897,4230.769231,4206.153846,4166.153846,4230.25641,Dislike
4141.538462,4123.589744,4140.512821,4129.74359,4219.487179,4237.948718,4249.230769,4198.461538,4197.948718,4216.923077,4228.205128,4197.435897,4161.025641,4226.153846,Dislike
4135.384615,4122.051282,4134.358974,4127.692308,4223.076923,4237.435897,4239.487179,4188.717949,4188.717949,4218.461538,4223.076923,4189.230769,4156.923077,4220.0,Dislike
4137.948718,4127.692308,4126.153846,4121.538462,4222.564103,4234.871795,4241.025641,4190.769231,4194.871795,4220.512821,4223.076923,4186.666667,4161.025641,4213.333333,Dislike
4149.230769,4132.820513,4135.384615,4127.179487,4226.153846,4237.948718,4251.794872,4208.717949,4213.846154,4218.974359,4228.205128,4197.948718,4164.615385,4223.076923,Dislike
4157.435897,4131.282051,4143.076923,4147.692308,4222.564103,4237.435897,4255.897436,4218.461538,4220.512821,4216.923077,4237.948718,4209.230769,4170.25641,4224.615385,Dislike
4149.230769,4120.512821,4133.846154,4143.076923,4219.487179,4227.692308,4247.179487,4206.666667,4210.769231,4217.435897,4241.025641,4201.538462,4171.794872,4218.461538,Dislike
4139.487179,4115.897436,4131.794872,4121.025641,4225.641026,4229.230769,4242.051282,4196.410256,4207.179487,4217.948718,4237.948718,4191.282051,4169.230769,4221.025641,Dislike
4135.897436,4121.025641,4132.307692,4126.666667,4222.051282,4236.923077,4242.564103,4202.051282,4210.769231,4217.435897,4232.820513,4191.282051,4161.538462,4218.974359,Dislike
4132.820513,4113.846154,4127.692308,4136.410256,4223.076923,4232.820513,4229.230769,4198.461538,4195.384615,4217.435897,4221.538462,4190.25641,4147.692308,4217.435897,Dislike
4138.461538,4109.230769,4123.076923,4132.307692,4225.641026,4230.769231,4220.512821,4194.358974,4190.769231,4217.435897,4218.461538,4189.230769,4151.794872,4214.871795,Dislike
4148.205128,4113.846154,4123.589744,4128.717949,4222.051282,4231.794872,4227.692308,4200.512821,4206.666667,4217.435897,4222.564103,4191.794872,4164.102564,4217.948718,Dislike
4151.282051,4117.435897,4127.179487,4133.846154,4226.153846,4229.230769,4229.230769,4204.102564,4209.230769,4217.435897,4224.102564,4194.358974,4162.564103,4222.051282,Dislike
4148.717949,4118.461538,4123.589744,4141.538462,4223.589744,4232.820513,4226.666667,4205.641026,4207.179487,4217.948718,4238.461538,4197.435897,4170.25641,4215.897436,Dislike
4144.615385,4111.794872,4123.076923,4135.897436,4223.589744,4232.820513,4227.179487,4212.820513,4214.358974,4217.435897,4250.25641,4195.384615,4181.538462,4216.410256,Dislike
4137.435897,4110.25641,4123.589744,4124.615385,4225.128205,4222.564103,4224.615385,4218.461538,4217.435897,4217.435897,4242.051282,4192.307692,4175.384615,4218.461538,Dislike
4137.948718,4118.974359,4123.076923,4131.794872,4222.051282,4225.641026,4223.589744,4212.820513,4210.769231,4218.461538,4233.846154,4194.358974,4171.794872,4216.923077,Dislike
4140.0,4114.871795,4122.564103,4135.897436,4225.641026,4231.794872,4221.025641,4207.179487,4208.717949,4219.487179,4232.307692,4188.717949,4173.333333,4216.410256,Dislike
4130.25641,4101.025641,4111.794872,4123.076923,4222.051282,4226.153846,4214.871795,4210.769231,4210.25641,4217.435897,4225.641026,4174.358974,4164.102564,4209.74359,Dislike
4125.128205,4099.487179,4109.74359,4115.897436,4221.538462,4221.538462,4208.717949,4208.717949,4203.076923,4217.435897,4214.871795,4167.692308,4157.435897,4214.358974,Dislike
4120.0,4095.897436,4109.230769,4120.0,4224.615385,4222.564103,4201.025641,4199.487179,4191.794872,4220.0,4207.692308,4164.615385,4153.846154,4217.435897,Dislike
4104.615385,4082.564103,4100.512821,4124.102564,4220.512821,4224.102564,4196.923077,4200.512821,4195.897436,4220.0,4204.615385,4151.282051,4148.717949,4208.205128,Dislike
4096.923077,4076.410256,4101.025641,4121.025641,4222.564103,4224.615385,4197.948718,4203.589744,4204.102564,4217.435897,4206.666667,4149.74359,4154.358974,4205.641026,Dislike
4094.358974,4075.384615,4098.461538,4109.230769,4222.564103,4223.589744,4198.461538,4201.025641,4197.435897,4217.948718,4208.717949,4156.410256,4164.102564,4202.051282,Dislike
4090.769231,4073.846154,4093.333333,4106.666667,4223.589744,4218.461538,4195.384615,4202.564103,4193.846154,4218.974359,4209.74359,4151.794872,4162.051282,4204.102564,Dislike
4096.923077,4074.871795,4096.410256,4117.435897,4226.666667,4217.435897,4199.487179,4207.179487,4205.641026,4218.461538,4213.846154,4152.820513,4162.564103,4210.25641,Dislike
4102.564103,4073.846154,4094.358974,4113.333333,4220.512821,4217.948718,4202.051282,4206.666667,4208.717949,4218.461538,4213.333333,4158.974359,4171.794872,4207.692308,Dislike
4096.410256,4069.74359,4092.307692,4104.102564,4223.589744,4216.923077,4191.282051,4201.538462,4193.333333,4218.461538,4210.25641,4150.769231,4171.282051,4212.820513,Dislike
4092.820513,4071.794872,4095.384615,4122.051282,4224.615385,4216.923077,4182.051282,4204.102564,4191.282051,4217.948718,4207.692308,4141.025641,4164.102564,4214.871795,Dislike
4095.897436,4070.25641,4095.897436,4125.128205,4223.076923,4214.871795,4178.461538,4197.948718,4195.384615,4217.948718,4201.025641,4141.025641,4160.0,4216.923077,Dislike
4093.333333,4071.794872,4092.307692,4105.641026,4225.641026,4216.923077,4176.923077,4187.692308,4184.102564,4220.512821,4197.435897,4140.512821,4162.051282,4223.589744,Dislike
