ch_1,ch_2,ch_3,ch_4,ch_5,ch_6,ch_7,ch_8,ch_9,ch_10,ch_11,ch_12,ch_13,ch_14,label
4373.846154,4358.974359,4403.076923,4339.487179,4237.948718,4284.102564,4287.179487,4317.948718,4241.538462,4232.307692,4400.512821,4303.076923,4368.205128,4267.692308,Dislike
4384.102564,4376.410256,4415.384615,4354.358974,4239.487179,4296.923077,4293.846154,4342.051282,4260.0,4230.25641,4416.923077,4309.74359,4382.051282,4270.25641,Dislike
4396.923077,4387.692308,4423.589744,4367.692308,4237.435897,4310.25641,4301.538462,4364.615385,4272.820513,4230.25641,4429.230769,4316.923077,4396.410256,4273.333333,Dislike
4392.820513,4376.410256,4416.410256,4358.974359,4236.923077,4309.74359,4307.692308,4362.051282,4265.128205,4231.794872,4422.564103,4316.410256,4392.307692,4271.794872,Dislike
4382.564103,4366.153846,4405.641026,4352.820513,4236.410256,4301.538462,4305.641026,4338.461538,4250.25641,4230.769231,4409.74359,4307.692308,4379.487179,4266.666667,Dislike
4385.128205,4367.179487,4407.179487,4359.487179,4235.384615,4300.0,4295.897436,4321.538462,4245.641026,4229.74359,4403.589744,4306.153846,4378.461538,4268.205128,Dislike
4388.717949,4370.25641,4414.358974,4364.102564,4233.846154,4303.589744,4293.846154,4340.512821,4251.794872,4231.282051,4401.025641,4307.179487,4375.897436,4271.794872,Dislike
4381.025641,4362.564103,4406.666667,4363.076923,4238.461538,4295.384615,4296.923077,4346.153846,4247.179487,4231.794872,4396.410256,4304.102564,4367.692308,4274.358974,Dislike
4376.410256,4356.410256,4397.435897,4363.076923,4238.974359,4285.641026,4291.794872,4306.666667,4237.948718,4230.769231,4401.538462,4303.589744,4374.871795,4269.74359,Dislike
4383.076923,4363.589744,4404.615385,4368.717949,4233.846154,4288.205128,4293.333333,4291.794872,4240.0,4231.794872,4406.153846,4307.692308,4384.102564,4264.102564,Dislike
4386.666667,4363.589744,4411.794872,4374.358974,4238.461538,4296.410256,4303.076923,4330.25641,4247.692308,4231.282051,4396.923077,4308.717949,4374.358974,4267.179487,Dislike
4381.025641,4353.333333,4404.102564,4366.666667,4240.0,4298.974359,4300.512821,4346.153846,4251.282051,4229.74359,4391.794872,4304.615385,4365.128205,4266.153846,Dislike
4371.794872,4342.051282,4392.820513,4355.384615,4237.948718,4297.948718,4294.358974,4307.692308,4237.948718,4230.25641,4388.717949,4303.076923,4365.128205,4263.076923,Dislike
4364.102564,4331.794872,4386.153846,4355.897436,4237.948718,4298.974359,4298.461538,4298.461538,4223.076923,4230.769231,4375.384615,4298.974359,4356.410256,4263.076923,Dislike
4362.051282,4329.74359,4386.666667,4358.974359,4234.358974,4296.923077,4294.358974,4324.102564,4225.128205,4230.769231,4364.615385,4296.923077,4347.179487,4262.564103,Dislike
4369.74359,4334.358974,4391.282051,4357.948718,4234.358974,4292.307692,4293.846154,4327.179487,4236.923077,4231.794872,4372.820513,4305.128205,4354.871795,4263.589744,Dislike
4380.0,4337.435897,4392.307692,4358.974359,4232.820513,4294.358974,4308.205128,4320.512821,4245.641026,4231.794872,4387.179487,4306.153846,4364.102564,4263.076923,Dislike
4370.25641,4328.205128,4381.025641,4356.410256,4234.871795,4289.74359,4296.410256,4296.923077,4228.205128,4232.307692,4376.923077,4301.025641,4351.794872,4261.025641,Dislike
