ch_1,ch_2,ch_3,ch_4,ch_5,ch_6,ch_7,ch_8,ch_9,ch_10,ch_11,ch_12,ch_13,ch_14,label
4195.384615,4227.179487,4197.435897,4213.333333,4221.025641,4235.897436,4216.923077,4236.410256,4217.948718,4227.179487,4134.871795,4169.230769,4133.333333,4221.025641,Like
4187.179487,4219.487179,4188.205128,4204.102564,4220.512821,4222.564103,4202.564103,4218.974359,4204.615385,4231.282051,4125.128205,4162.564103,4128.205128,4221.538462,Like
4182.564103,4215.384615,4191.794872,4200.512821,4232.307692,4210.25641,4196.923077,4224.615385,4200.0,4228.717949,4123.589744,4162.051282,4130.25641,4221.025641,Like
4194.358974,4228.205128,4203.076923,4211.794872,4226.153846,4223.589744,4210.769231,4225.128205,4213.333333,4225.641026,4143.589744,4174.358974,4145.641026,4220.0,Like
4215.384615,4248.205128,4219.487179,4229.230769,4230.769231,4243.589744,4227.179487,4247.692308,4226.666667,4229.74359,4165.641026,4187.692308,4154.358974,4225.128205,Like
4213.333333,4245.128205,4214.871795,4227.692308,4226.153846,4239.487179,4223.589744,4238.461538,4220.0,4229.74359,4166.666667,4180.512821,4152.307692,4209.230769,Like
4201.025641,4231.794872,4202.564103,4215.384615,4221.538462,4226.666667,4215.897436,4220.0,4205.128205,4226.153846,4158.461538,4167.179487,4154.871795,4212.307692,Like
4201.538462,4237.435897,4207.179487,4218.974359,4229.230769,4231.794872,4221.025641,4233.333333,4207.692308,4227.179487,4162.051282,4171.794872,4161.025641,4220.512821,Like
4211.794872,4248.717949,4212.307692,4232.820513,4222.564103,4245.128205,4230.769231,4228.717949,4220.512821,4229.230769,4172.820513,4185.128205,4163.076923,4214.358974,Like
4213.333333,4241.025641,4211.794872,4228.717949,4228.205128,4243.076923,4228.717949,4230.25641,4215.897436,4230.25641,4171.282051,4181.538462,4156.923077,4213.333333,Like
4192.307692,4223.076923,4196.923077,4208.205128,4226.666667,4225.641026,4212.307692,4214.871795,4194.358974,4227.692308,4160.0,4162.564103,4144.102564,4198.461538,Like
4191.282051,4224.615385,4192.307692,4207.179487,4223.589744,4226.153846,4209.74359,4211.282051,4192.307692,4227.692308,4164.102564,4165.641026,4144.102564,4198.461538,Like
4215.384615,4245.128205,4211.282051,4228.205128,4233.846154,4245.128205,4232.307692,4235.384615,4218.461538,4230.25641,4184.615385,4187.692308,4162.564103,4209.230769,Like
4218.461538,4251.282051,4214.871795,4234.871795,4225.641026,4248.717949,4241.025641,4223.076923,4231.794872,4228.205128,4193.846154,4192.307692,4171.794872,4213.846154,Like
4210.25641,4234.871795,4209.230769,4220.512821,4227.179487,4238.461538,4226.666667,4229.74359,4224.615385,4226.153846,4190.769231,4184.615385,4164.102564,4221.025641,Like
4207.179487,4227.179487,4204.102564,4214.358974,4224.102564,4232.820513,4220.512821,4229.74359,4219.487179,4227.179487,4189.230769,4180.0,4160.0,4208.205128,Like
4218.974359,4242.564103,4213.333333,4231.282051,4221.538462,4237.948718,4233.846154,4221.538462,4231.282051,4228.717949,4205.128205,4193.333333,4172.820513,4211.282051,Like
4232.820513,4251.794872,4228.205128,4244.615385,4235.897436,4246.153846,4246.666667,4244.102564,4246.666667,4229.230769,4221.538462,4208.717949,4182.051282,4216.410256,Like
4220.0,4241.538462,4218.974359,4230.769231,4226.153846,4241.538462,4241.538462,4232.820513,4237.948718,4229.74359,4214.871795,4198.461538,4174.358974,4204.102564,Like
4212.307692,4234.358974,4217.435897,4220.512821,4225.641026,4235.897436,4239.487179,4229.74359,4225.128205,4231.794872,4209.230769,4195.384615,4170.769231,4210.25641,Like
4218.461538,4236.410256,4223.076923,4225.641026,4229.230769,4239.487179,4245.128205,4233.333333,4225.128205,4229.74359,4218.974359,4203.589744,4177.435897,4209.230769,Like
4231.794872,4250.25641,4227.692308,4237.435897,4221.025641,4249.230769,4251.794872,4230.769231,4235.384615,4227.179487,4234.358974,4209.74359,4188.205128,4217.948718,Like
4245.128205,4264.102564,4236.410256,4250.25641,4229.74359,4254.871795,4257.435897,4246.666667,4243.076923,4228.205128,4243.589744,4218.974359,4198.461538,4227.179487,Like
4232.820513,4249.74359,4223.076923,4239.487179,4225.128205,4241.025641,4241.538462,4224.615385,4229.230769,4227.692308,4233.846154,4211.794872,4189.230769,4208.205128,Like
4217.435897,4232.820513,4212.820513,4221.025641,4226.153846,4230.769231,4226.153846,4221.025641,4215.897436,4228.717949,4220.512821,4200.0,4171.794872,4210.25641,Like
4223.589744,4246.666667,4221.538462,4230.769231,4228.717949,4244.615385,4246.153846,4243.076923,4227.692308,4228.717949,4227.179487,4207.692308,4178.461538,4214.871795,Like
4230.769231,4252.820513,4221.538462,4239.487179,4219.487179,4253.333333,4257.948718,4237.948718,4236.923077,4226.666667,4236.410256,4211.282051,4187.179487,4215.897436,Like
4219.487179,4233.846154,4212.307692,4222.564103,4231.282051,4240.512821,4240.512821,4238.461538,4223.076923,4226.666667,4227.692308,4192.307692,4172.820513,4216.923077,Like
4210.25641,4230.769231,4208.717949,4216.923077,4230.769231,4234.358974,4239.487179,4226.666667,4222.564103,4228.205128,4224.615385,4185.128205,4169.74359,4207.179487,Like
