ch_1,ch_2,ch_3,ch_4,ch_5,ch_6,ch_7,ch_8,ch_9,ch_10,ch_11,ch_12,ch_13,ch_14,label
4204.615385,4212.820513,4212.307692,4236.923077,4228.717949,4229.230769,4227.692308,4212.307692,4226.666667,4221.538462,4253.333333,4209.74359,4262.564103,4207.179487,Like
4188.717949,4205.128205,4206.153846,4232.307692,4223.589744,4228.717949,4229.230769,4214.871795,4223.076923,4225.128205,4241.538462,4202.564103,4234.358974,4201.025641,Like
4182.564103,4197.948718,4200.0,4231.282051,4221.538462,4224.102564,4224.102564,4207.692308,4209.74359,4226.666667,4232.307692,4196.410256,4222.564103,4205.128205,Like
4178.461538,4198.461538,4192.307692,4233.846154,4223.589744,4223.076923,4220.512821,4194.358974,4195.384615,4223.589744,4226.153846,4188.717949,4219.487179,4202.051282,Like
4171.282051,4197.435897,4190.25641,4231.794872,4221.025641,4221.538462,4219.487179,4197.435897,4203.076923,4226.666667,4225.641026,4185.641026,4222.051282,4203.589744,Like
4165.641026,4180.512821,4192.307692,4226.666667,4226.153846,4216.923077,4211.794872,4207.692308,4213.846154,4219.487179,4224.102564,4182.564103,4219.487179,4216.923077,Like
4165.641026,4173.846154,4189.230769,4223.076923,4224.615385,4212.820513,4208.205128,4207.692308,4209.230769,4213.333333,4221.025641,4184.102564,4214.871795,4215.384615,Like
4170.25641,4186.153846,4192.307692,4229.230769,4223.076923,4213.333333,4214.871795,4205.641026,4210.769231,4222.051282,4224.102564,4189.230769,4214.871795,4215.384615,Like
4172.307692,4192.820513,4194.871795,4229.74359,4225.641026,4217.948718,4222.051282,4210.25641,4219.487179,4221.538462,4227.179487,4189.74359,4215.384615,4215.384615,Like
4165.641026,4178.461538,4189.230769,4222.564103,4223.589744,4216.410256,4220.512821,4206.666667,4209.74359,4214.358974,4221.538462,4184.102564,4208.717949,4207.692308,Like
4165.641026,4172.820513,4192.307692,4231.282051,4225.128205,4214.871795,4221.025641,4205.128205,4205.128205,4224.102564,4225.128205,4189.230769,4209.74359,4210.25641,Like
4183.589744,4195.897436,4205.641026,4240.0,4223.076923,4222.051282,4234.358974,4226.153846,4231.282051,4231.282051,4244.615385,4211.282051,4229.230769,4212.307692,Like
4196.410256,4209.230769,4213.333333,4238.974359,4221.538462,4229.230769,4247.692308,4241.025641,4247.179487,4225.128205,4245.641026,4221.538462,4235.897436,4215.384615,Like
4190.769231,4207.179487,4213.333333,4238.974359,4224.102564,4235.384615,4249.74359,4241.538462,4236.410256,4224.615385,4231.794872,4211.282051,4224.102564,4217.435897,Like
4187.692308,4211.282051,4212.820513,4241.538462,4223.589744,4234.358974,4243.589744,4237.948718,4230.769231,4226.153846,4231.282051,4204.102564,4217.435897,4215.384615,Like
4183.589744,4200.512821,4211.282051,4238.461538,4227.179487,4223.589744,4237.948718,4226.666667,4228.717949,4222.564103,4226.666667,4199.487179,4209.74359,4216.410256,Like
4166.153846,4175.897436,4201.025641,4228.205128,4224.102564,4217.435897,4235.384615,4222.051282,4218.974359,4225.641026,4214.358974,4189.74359,4197.435897,4208.205128,Like
4157.435897,4167.179487,4195.897436,4230.25641,4221.538462,4223.076923,4233.846154,4229.74359,4217.948718,4228.717949,4211.282051,4187.692308,4194.358974,4206.666667,Like
4165.128205,4172.820513,4199.487179,4233.333333,4225.641026,4222.564103,4232.307692,4232.820513,4230.769231,4218.974359,4217.948718,4194.358974,4204.102564,4212.307692,Like
4171.794872,4183.589744,4204.615385,4229.74359,4224.102564,4220.0,4230.25641,4229.230769,4243.589744,4212.307692,4228.717949,4201.025641,4215.384615,4211.282051,Like
4173.846154,4189.74359,4210.25641,4234.358974,4225.641026,4224.102564,4227.179487,4227.692308,4244.102564,4224.102564,4230.769231,4199.487179,4214.358974,4213.333333,Like
4172.820513,4188.205128,4207.179487,4235.897436,4224.102564,4230.25641,4230.769231,4224.615385,4233.846154,4229.74359,4224.615385,4191.282051,4209.230769,4209.74359,Like
4171.794872,4185.128205,4202.564103,4233.846154,4221.538462,4227.179487,4230.25641,4216.410256,4224.615385,4222.564103,4223.589744,4193.333333,4207.692308,4209.74359,Like
4165.128205,4176.923077,4197.435897,4230.769231,4224.102564,4214.358974,4217.435897,4209.230769,4218.974359,4222.564103,4223.589744,4196.923077,4198.974359,4210.769231,Like
4156.410256,4170.25641,4189.230769,4227.692308,4222.564103,4205.641026,4213.333333,4213.333333,4220.512821,4224.615385,4217.435897,4188.717949,4179.487179,4202.564103,Like
4158.461538,4168.717949,4187.692308,4233.333333,4224.615385,4204.102564,4216.923077,4220.512821,4225.641026,4224.102564,4216.923077,4180.512821,4176.923077,4205.128205,Like
4166.153846,4169.74359,4191.282051,4230.25641,4224.615385,4204.615385,4214.871795,4220.512821,4226.153846,4226.666667,4227.692308,4181.538462,4203.076923,4207.179487,Like
4162.051282,4167.179487,4192.307692,4223.076923,4222.564103,4207.179487,4212.307692,4214.358974,4223.076923,4229.230769,4228.717949,4183.076923,4214.871795,4207.692308,Like
4151.794872,4162.051282,4189.74359,4226.153846,4225.641026,4208.205128,4213.846154,4206.153846,4221.025641,4226.666667,4216.410256,4178.974359,4197.435897,4207.692308,Like
4152.307692,4164.615385,4188.717949,4227.692308,4222.051282,4210.25641,4212.307692,4207.179487,4221.538462,4226.666667,4214.358974,4176.410256,4196.410256,4201.538462,Like
4155.384615,4167.179487,4192.820513,4226.666667,4223.589744,4212.307692,4210.25641,4212.307692,4220.0,4232.820513,4222.564103,4179.487179,4210.25641,4205.128205,Like
4155.384615,4167.692308,4192.820513,4226.666667,4224.615385,4211.282051,4215.897436,4210.769231,4221.538462,4230.25641,4226.666667,4182.564103,4206.666667,4208.205128,Like
