ch_1,ch_2,ch_3,ch_4,ch_5,ch_6,ch_7,ch_8,ch_9,ch_10,ch_11,ch_12,ch_13,ch_14,label
4188.205128,4191.794872,4207.179487,4235.897436,4220.0,4295.897436,4218.461538,4215.897436,4225.641026,4235.897436,4192.820513,4230.769231,4129.74359,4220.0,Like
4188.717949,4187.692308,4205.641026,4232.307692,4223.076923,4281.538462,4217.435897,4214.358974,4224.615385,4229.74359,4195.384615,4233.846154,4130.769231,4223.589744,Like
4187.692308,4190.25641,4201.538462,4229.74359,4224.615385,4278.974359,4216.923077,4209.74359,4221.538462,4227.692308,4194.358974,4227.692308,4133.846154,4223.076923,Like
4185.128205,4187.179487,4198.461538,4227.179487,4222.564103,4278.974359,4220.0,4209.74359,4221.538462,4229.230769,4192.820513,4226.153846,4131.794872,4222.564103,Like
4178.461538,4173.333333,4191.282051,4218.461538,4223.076923,4275.384615,4215.384615,4205.641026,4211.794872,4226.666667,4184.615385,4228.717949,4118.461538,4221.025641,Like
4179.487179,4181.538462,4193.846154,4222.051282,4222.051282,4278.461538,4216.410256,4209.74359,4212.820513,4226.666667,4183.076923,4223.076923,4121.538462,4217.948718,Like
4176.923077,4177.948718,4187.179487,4215.384615,4225.128205,4273.846154,4208.717949,4200.0,4204.102564,4231.794872,4179.487179,4227.692308,4117.435897,4220.0,Like
4178.974359,4177.435897,4190.25641,4212.307692,4222.564103,4271.794872,4210.25641,4200.512821,4207.692308,4233.846154,4190.769231,4231.282051,4128.717949,4218.974359,Like
4175.897436,4176.923077,4193.333333,4212.820513,4221.538462,4271.282051,4207.179487,4205.128205,4211.282051,4229.74359,4200.512821,4230.769231,4141.025641,4219.487179,Like
4173.333333,4171.282051,4189.230769,4212.820513,4224.102564,4268.717949,4200.512821,4201.538462,4208.717949,4229.74359,4194.358974,4232.307692,4135.897436,4224.615385,Like
4188.205128,4188.205128,4203.589744,4223.589744,4222.051282,4273.333333,4212.307692,4212.307692,4223.589744,4231.794872,4200.512821,4228.205128,4147.179487,4224.102564,Like
4188.717949,4186.153846,4203.076923,4219.487179,4227.692308,4269.230769,4209.230769,4208.717949,4212.307692,4229.230769,4198.974359,4232.307692,4144.102564,4224.615385,Like
4189.230769,4185.641026,4203.589744,4223.076923,4228.717949,4270.769231,4218.974359,4215.897436,4211.794872,4232.820513,4203.076923,4237.435897,4148.205128,4225.128205,Like
4197.948718,4199.487179,4215.897436,4234.358974,4223.076923,4281.538462,4239.487179,4234.871795,4237.948718,4238.461538,4216.923077,4238.974359,4165.128205,4229.74359,Like
4192.820513,4197.435897,4215.384615,4230.25641,4224.615385,4282.051282,4237.435897,4231.794872,4236.410256,4233.333333,4214.358974,4238.974359,4159.487179,4232.820513,Like
4192.307692,4198.974359,4216.923077,4231.282051,4221.025641,4284.102564,4237.948718,4234.871795,4234.358974,4227.692308,4213.846154,4230.769231,4160.0,4226.153846,Like
4194.871795,4195.897436,4213.846154,4228.205128,4223.589744,4283.589744,4232.820513,4232.820513,4235.384615,4230.769231,4212.820513,4232.820513,4157.948718,4229.74359,Like
4202.051282,4203.076923,4221.538462,4233.846154,4227.179487,4286.153846,4237.435897,4232.820513,4237.948718,4234.358974,4218.974359,4239.487179,4161.538462,4231.794872,Like
4206.666667,4210.769231,4229.74359,4241.538462,4225.128205,4290.25641,4248.717949,4240.0,4242.564103,4230.769231,4222.051282,4236.410256,4167.179487,4226.666667,Like
4202.051282,4200.0,4222.051282,4233.846154,4225.641026,4288.205128,4245.128205,4238.461538,4241.025641,4231.794872,4210.769231,4236.410256,4160.0,4227.692308,Like
4212.820513,4213.333333,4231.282051,4246.153846,4219.487179,4294.871795,4257.435897,4248.205128,4254.871795,4234.871795,4220.512821,4237.435897,4178.974359,4228.717949,Like
4215.384615,4217.948718,4233.333333,4255.897436,4221.538462,4296.923077,4258.461538,4244.102564,4250.769231,4231.282051,4228.717949,4241.025641,4186.666667,4233.846154,Like
4214.358974,4220.0,4232.307692,4257.948718,4226.153846,4293.846154,4254.871795,4242.564103,4249.230769,4230.769231,4226.153846,4244.102564,4185.128205,4234.871795,Like
4218.974359,4232.820513,4237.435897,4260.0,4221.538462,4296.923077,4265.128205,4257.435897,4266.153846,4233.333333,4228.205128,4240.0,4193.333333,4228.717949,Like
4211.794872,4220.512821,4225.128205,4250.25641,4225.128205,4295.897436,4255.897436,4248.717949,4250.25641,4231.794872,4221.025641,4242.051282,4181.538462,4225.641026,Like
4211.282051,4223.589744,4229.74359,4254.871795,4226.153846,4297.948718,4252.307692,4244.102564,4243.076923,4231.794872,4225.128205,4240.512821,4184.615385,4226.666667,Like
4210.25641,4226.666667,4232.820513,4254.871795,4225.641026,4293.333333,4248.717949,4240.0,4243.076923,4231.282051,4226.666667,4237.948718,4185.641026,4230.25641,Like
4210.769231,4220.512821,4227.179487,4248.205128,4224.615385,4288.205128,4243.589744,4234.358974,4236.410256,4228.205128,4223.589744,4237.948718,4182.564103,4228.717949,Like
4215.384615,4219.487179,4231.794872,4251.794872,4221.538462,4290.25641,4246.153846,4237.435897,4239.487179,4230.25641,4228.205128,4234.871795,4191.282051,4224.615385,Like
4205.128205,4201.538462,4223.076923,4240.512821,4224.102564,4283.589744,4231.794872,4222.564103,4223.589744,4229.230769,4217.435897,4235.897436,4178.461538,4225.641026,Like
4201.538462,4201.025641,4220.0,4236.410256,4220.0,4279.487179,4232.307692,4218.461538,4220.512821,4227.179487,4214.871795,4233.846154,4178.461538,4224.615385,Like
4198.461538,4195.384615,4214.358974,4232.307692,4222.564103,4275.897436,4226.666667,4214.871795,4217.435897,4227.179487,4210.25641,4232.820513,4175.897436,4224.615385,Like
4192.307692,4182.564103,4204.615385,4222.051282,4228.717949,4273.846154,4209.74359,4201.538462,4203.076923,4224.615385,4196.923077,4230.769231,4159.487179,4223.076923,Like
4196.923077,4193.846154,4210.25641,4227.179487,4224.615385,4279.487179,4215.897436,4209.230769,4208.717949,4226.666667,4201.538462,4227.692308,4165.128205,4222.564103,Like
4197.948718,4194.871795,4213.846154,4227.692308,4226.153846,4276.410256,4216.923077,4210.769231,4208.205128,4229.230769,4204.615385,4236.410256,4167.692308,4231.794872,Like
4201.025641,4198.974359,4222.051282,4232.820513,4226.153846,4276.410256,4216.923077,4212.307692,4208.717949,4230.25641,4208.205128,4236.410256,4173.333333,4229.74359,Like
4200.0,4202.564103,4218.974359,4233.846154,4225.128205,4275.897436,4213.846154,4210.769231,4205.641026,4229.74359,4204.102564,4230.769231,4172.307692,4223.589744,Like
4194.358974,4195.384615,4209.230769,4224.102564,4226.666667,4273.846154,4211.282051,4208.205128,4205.128205,4228.205128,4194.358974,4230.25641,4163.589744,4225.128205,Like
4194.358974,4203.076923,4212.307692,4225.128205,4220.0,4277.435897,4223.076923,4218.974359,4221.025641,4227.179487,4202.564103,4227.179487,4177.435897,4227.179487,Like
4187.179487,4198.461538,4204.615385,4217.948718,4223.589744,4273.846154,4217.948718,4212.307692,4215.897436,4228.717949,4203.076923,4230.25641,4177.435897,4230.25641,Like
4191.282051,4201.538462,4207.692308,4218.974359,4226.666667,4274.358974,4218.461538,4214.871795,4221.538462,4234.358974,4201.538462,4228.717949,4175.384615,4229.230769,Like
4195.384615,4206.666667,4210.25641,4220.512821,4224.102564,4274.871795,4220.0,4217.948718,4224.102564,4231.794872,4200.512821,4223.589744,4171.794872,4228.717949,Like
4186.666667,4196.923077,4200.512821,4210.769231,4224.102564,4267.179487,4213.333333,4197.435897,4203.076923,4224.615385,4195.897436,4228.717949,4163.076923,4228.205128,Like
4188.717949,4202.564103,4206.666667,4214.871795,4220.512821,4266.153846,4217.435897,4197.435897,4211.282051,4224.102564,4204.615385,4226.153846,4173.333333,4221.538462,Like
4186.666667,4197.435897,4203.589744,4209.74359,4225.128205,4262.051282,4204.102564,4199.487179,4215.384615,4228.717949,4200.0,4225.641026,4163.589744,4224.102564,Like
4188.205128,4202.051282,4206.153846,4213.846154,4227.179487,4264.102564,4202.564103,4203.589744,4209.74359,4232.307692,4201.025641,4230.769231,4161.538462,4228.717949,Like
4193.333333,4214.358974,4216.410256,4225.641026,4222.564103,4273.333333,4217.948718,4210.769231,4210.769231,4231.794872,4209.230769,4227.179487,4174.871795,4227.179487,Like
4188.717949,4206.153846,4209.230769,4218.974359,4226.153846,4273.846154,4210.25641,4203.076923,4202.564103,4229.230769,4202.051282,4227.179487,4171.282051,4227.692308,Like
4194.871795,4215.384615,4213.846154,4225.641026,4225.128205,4284.615385,4212.820513,4209.230769,4217.435897,4230.769231,4209.230769,4231.282051,4181.538462,4227.692308,Like
4197.948718,4220.0,4216.410256,4226.666667,4225.128205,4297.435897,4216.410256,4214.358974,4228.205128,4231.794872,4210.769231,4235.384615,4181.538462,4232.820513,Like
4194.871795,4218.461538,4209.74359,4221.538462,4222.051282,4298.461538,4217.435897,4211.282051,4220.512821,4226.666667,4202.051282,4229.74359,4172.820513,4230.769231,Like
4192.307692,4215.384615,4203.589744,4219.487179,4220.0,4295.384615,4217.435897,4205.128205,4212.307692,4225.641026,4196.410256,4221.538462,4168.717949,4225.641026,Like
4185.128205,4197.948718,4195.384615,4211.794872,4225.641026,4286.153846,4201.538462,4187.692308,4204.615385,4232.307692,4188.717949,4224.615385,4155.897436,4229.230769,Like
4192.307692,4205.128205,4207.179487,4217.435897,4222.051282,4285.128205,4201.025641,4195.384615,4218.461538,4232.307692,4198.974359,4223.589744,4168.717949,4228.205128,Like
4196.923077,4208.205128,4211.282051,4217.948718,4224.102564,4289.74359,4204.102564,4203.076923,4218.974359,4229.74359,4206.153846,4227.692308,4181.025641,4231.282051,Like
4196.923077,4208.205128,4213.846154,4217.435897,4228.205128,4293.846154,4209.230769,4196.923077,4210.25641,4234.871795,4207.179487,4231.282051,4185.128205,4236.410256,Like
4204.102564,4222.051282,4224.102564,4224.102564,4222.564103,4290.769231,4211.794872,4193.333333,4212.820513,4235.384615,4211.794872,4226.153846,4194.358974,4236.410256,Like
4200.512821,4215.384615,4216.923077,4217.435897,4225.128205,4280.512821,4194.871795,4182.051282,4198.461538,4229.230769,4203.589744,4228.205128,4184.615385,4237.435897,Like
4199.487179,4216.410256,4217.435897,4219.487179,4226.666667,4288.205128,4202.051282,4190.25641,4205.128205,4232.307692,4205.128205,4227.179487,4193.846154,4234.358974,Like
4198.974359,4221.025641,4217.948718,4222.051282,4225.128205,4293.333333,4210.25641,4195.897436,4218.974359,4233.333333,4208.717949,4227.692308,4202.564103,4234.358974,Like
