ch_1,ch_2,ch_3,ch_4,ch_5,ch_6,ch_7,ch_8,ch_9,ch_10,ch_11,ch_12,ch_13,ch_14,label
4206.153846,4206.666667,4211.282051,4264.615385,4217.435897,4232.307692,4270.25641,4191.794872,4210.25641,4218.974359,4241.025641,4159.487179,4194.871795,4224.615385,Dislike
4196.410256,4194.358974,4207.692308,4262.564103,4220.0,4237.948718,4271.282051,4195.384615,4196.923077,4219.487179,4238.974359,4161.538462,4194.871795,4221.025641,Dislike
4203.076923,4203.076923,4222.051282,4266.666667,4222.051282,4240.0,4275.897436,4195.897436,4202.051282,4219.487179,4245.128205,4174.871795,4204.102564,4218.974359,Dislike
4220.0,4213.846154,4229.74359,4269.230769,4217.435897,4237.435897,4278.974359,4202.051282,4205.641026,4218.461538,4249.74359,4180.512821,4206.666667,4220.512821,Dislike
4217.948718,4212.307692,4220.0,4271.794872,4225.128205,4236.410256,4276.410256,4205.128205,4200.512821,4217.948718,4245.128205,4170.769231,4202.051282,4225.128205,Dislike
4212.820513,4207.692308,4216.923077,4265.641026,4222.564103,4235.897436,4277.435897,4209.74359,4202.051282,4218.461538,4252.307692,4178.974359,4223.076923,4223.076923,Dislike
4213.846154,4184.102564,4222.051282,4263.076923,4215.897436,4233.846154,4274.871795,4209.230769,4202.051282,4217.948718,4256.923077,4189.74359,4237.435897,4224.615385,Dislike
4215.384615,4148.205128,4217.948718,4264.102564,4218.974359,4230.25641,4267.692308,4202.051282,4200.0,4218.461538,4249.74359,4187.179487,4228.717949,4225.128205,Dislike
4218.974359,4138.974359,4214.358974,4267.179487,4220.512821,4225.128205,4268.717949,4200.512821,4200.512821,4220.0,4248.717949,4187.179487,4227.692308,4225.641026,Dislike
4221.538462,4145.641026,4222.564103,4273.333333,4224.102564,4226.666667,4272.307692,4206.153846,4202.564103,4218.974359,4251.282051,4188.717949,4229.74359,4229.230769,Dislike
4225.641026,4144.615385,4227.692308,4267.692308,4219.487179,4228.205128,4271.282051,4213.333333,4203.076923,4216.923077,4255.384615,4193.846154,4233.333333,4224.615385,Dislike
4224.615385,4144.102564,4222.051282,4267.692308,4217.948718,4227.692308,4271.794872,4208.205128,4201.538462,4217.435897,4245.641026,4190.769231,4228.205128,4224.615385,Dislike
4213.333333,4146.666667,4215.897436,4272.820513,4223.589744,4228.717949,4270.769231,4200.512821,4201.025641,4217.435897,4229.74359,4174.871795,4212.820513,4227.179487,Dislike
4198.974359,4137.435897,4210.769231,4266.666667,4217.948718,4227.692308,4264.615385,4199.487179,4201.538462,4217.435897,4223.076923,4161.538462,4197.435897,4224.615385,Dislike
4187.692308,4126.153846,4204.102564,4262.051282,4216.923077,4228.717949,4264.102564,4195.897436,4199.487179,4217.435897,4210.769231,4150.769231,4180.0,4223.076923,Dislike
4192.307692,4129.230769,4206.153846,4260.0,4217.435897,4227.692308,4267.692308,4196.923077,4202.051282,4217.435897,4213.333333,4154.871795,4188.205128,4221.025641,Dislike
4209.230769,4137.948718,4215.384615,4262.564103,4217.435897,4227.179487,4266.666667,4202.564103,4207.179487,4217.435897,4237.435897,4169.230769,4214.358974,4226.666667,Dislike
4218.974359,4145.641026,4217.435897,4265.641026,4222.051282,4230.25641,4266.666667,4202.564103,4204.615385,4217.435897,4244.615385,4176.923077,4221.025641,4227.692308,Dislike
