ch_1,ch_2,ch_3,ch_4,ch_5,ch_6,ch_7,ch_8,ch_9,ch_10,ch_11,ch_12,ch_13,ch_14,label
4194.358974,4177.948718,4163.589744,4190.769231,4226.666667,4181.538462,4209.230769,4220.0,4217.948718,4227.692308,4163.076923,4191.282051,4140.0,4190.769231,Dislike
4186.153846,4191.282051,4166.666667,4190.25641,4210.769231,4179.487179,4214.871795,4224.615385,4233.333333,4229.74359,4171.282051,4203.076923,4152.820513,4197.435897,Dislike
4207.179487,4200.0,4182.564103,4203.076923,4225.128205,4176.923077,4206.153846,4221.025641,4234.358974,4227.692308,4183.589744,4210.769231,4154.358974,4198.461538,Dislike
4193.333333,4196.410256,4171.794872,4194.358974,4215.384615,4177.948718,4195.897436,4213.846154,4229.230769,4225.641026,4175.384615,4203.589744,4154.871795,4195.384615,Dislike
4189.74359,4170.25641,4159.487179,4184.615385,4217.948718,4181.025641,4204.615385,4205.128205,4220.512821,4227.692308,4165.641026,4192.820513,4135.897436,4200.0,Dislike
4204.102564,4173.333333,4175.384615,4199.487179,4228.717949,4182.564103,4215.897436,4216.410256,4225.641026,4226.666667,4165.641026,4200.0,4134.358974,4194.358974,Dislike
4198.461538,4193.333333,4179.487179,4206.666667,4207.692308,4180.0,4202.564103,4230.25641,4241.538462,4226.153846,4174.871795,4214.358974,4152.820513,4196.410256,Dislike
4204.615385,4190.769231,4180.512821,4203.076923,4216.410256,4187.179487,4206.666667,4229.74359,4243.076923,4230.25641,4185.128205,4216.410256,4154.358974,4193.846154,Dislike
4202.564103,4212.307692,4190.25641,4207.179487,4213.846154,4194.871795,4236.923077,4250.769231,4261.025641,4229.230769,4195.897436,4229.74359,4183.076923,4195.897436,Dislike
4204.615385,4201.025641,4183.589744,4200.512821,4217.948718,4185.128205,4223.589744,4243.076923,4256.923077,4224.615385,4190.769231,4222.564103,4172.820513,4196.923077,Dislike
