ch_1,ch_2,ch_3,ch_4,ch_5,ch_6,ch_7,ch_8,ch_9,ch_10,ch_11,ch_12,ch_13,ch_14,label
4205.128205,4192.307692,4178.974359,4212.820513,4224.102564,4238.974359,4210.25641,4208.205128,4208.717949,4231.794872,4173.846154,4166.153846,4190.25641,4269.230769,Like
4201.025641,4192.820513,4177.435897,4213.846154,4222.051282,4238.974359,4209.74359,4200.512821,4201.025641,4232.307692,4166.153846,4157.435897,4183.589744,4270.769231,Like
4207.692308,4194.358974,4182.051282,4212.820513,4221.538462,4236.410256,4208.717949,4200.0,4198.461538,4224.615385,4165.641026,4161.538462,4186.666667,4272.820513,Like
4208.717949,4188.205128,4183.589744,4209.230769,4225.641026,4237.948718,4207.692308,4205.641026,4200.512821,4224.615385,4168.717949,4165.641026,4188.205128,4274.871795,Like
4203.076923,4188.717949,4182.051282,4213.333333,4221.538462,4242.051282,4220.512821,4214.871795,4211.282051,4230.769231,4174.358974,4164.615385,4190.769231,4274.871795,Like
4196.923077,4185.641026,4178.974359,4209.230769,4225.641026,4248.205128,4232.307692,4216.923077,4212.307692,4230.769231,4171.794872,4160.512821,4186.153846,4272.820513,Like
4202.051282,4183.589744,4178.461538,4207.179487,4226.153846,4241.538462,4223.076923,4218.974359,4212.820513,4227.692308,4170.769231,4163.076923,4183.589744,4268.717949,Like
4209.74359,4195.384615,4188.205128,4216.923077,4220.0,4235.384615,4208.205128,4224.615385,4225.128205,4229.230769,4183.076923,4175.384615,4194.871795,4264.615385,Like
4208.205128,4200.0,4193.846154,4219.487179,4223.076923,4242.051282,4211.794872,4223.589744,4231.282051,4232.820513,4188.205128,4179.487179,4202.564103,4258.461538,Like
4208.205128,4195.897436,4187.692308,4216.923077,4221.538462,4241.025641,4223.076923,4223.076923,4225.128205,4229.230769,4182.564103,4175.897436,4201.538462,4247.692308,Like
4214.358974,4198.461538,4190.25641,4220.512821,4224.102564,4235.384615,4217.435897,4221.538462,4220.0,4226.153846,4183.076923,4180.0,4201.025641,4243.076923,Like
4223.076923,4209.74359,4199.487179,4228.205128,4224.102564,4235.384615,4212.820513,4220.512821,4224.102564,4228.205128,4193.333333,4187.692308,4209.74359,4244.102564,Like
4226.153846,4211.282051,4201.025641,4229.74359,4221.538462,4239.487179,4220.0,4221.025641,4218.974359,4231.794872,4197.435897,4185.641026,4210.769231,4243.076923,Like
4216.410256,4201.538462,4197.948718,4221.538462,4228.717949,4238.461538,4217.435897,4213.846154,4207.179487,4230.25641,4191.794872,4178.461538,4197.948718,4241.538462,Like
4210.769231,4203.076923,4194.871795,4218.974359,4225.128205,4230.769231,4213.333333,4214.358974,4214.871795,4229.230769,4193.333333,4178.461538,4197.948718,4237.435897,Like
4212.307692,4205.641026,4195.897436,4218.974359,4221.025641,4234.358974,4214.358974,4221.025641,4222.564103,4232.307692,4195.897436,4179.487179,4202.564103,4237.948718,Like
