ch_1,ch_2,ch_3,ch_4,ch_5,ch_6,ch_7,ch_8,ch_9,ch_10,ch_11,ch_12,ch_13,ch_14,label
4211.282051,4198.974359,4207.692308,4198.974359,4223.589744,4184.102564,4191.794872,4190.769231,4189.74359,4230.25641,4200.512821,4215.897436,4192.820513,4213.846154,Dislike
4206.666667,4192.307692,4204.102564,4195.897436,4226.666667,4184.102564,4188.717949,4189.74359,4189.74359,4230.25641,4204.615385,4215.897436,4196.410256,4220.0,Dislike
4202.051282,4181.025641,4200.512821,4188.205128,4227.179487,4180.0,4187.179487,4186.153846,4176.410256,4231.282051,4197.435897,4216.410256,4186.666667,4217.948718,Dislike
4204.102564,4192.820513,4199.487179,4192.820513,4225.641026,4183.076923,4194.358974,4192.307692,4181.025641,4231.794872,4196.410256,4215.384615,4187.179487,4215.384615,Dislike
4209.230769,4202.051282,4207.692308,4200.0,4229.74359,4184.102564,4196.410256,4193.846154,4188.717949,4231.794872,4199.487179,4217.435897,4188.717949,4220.0,Dislike
4206.666667,4189.230769,4208.717949,4195.897436,4228.717949,4178.974359,4194.871795,4189.74359,4192.307692,4230.769231,4202.051282,4216.923077,4189.230769,4216.923077,Dislike
4204.615385,4187.692308,4204.615385,4192.820513,4227.692308,4176.923077,4197.948718,4193.333333,4189.230769,4231.282051,4201.025641,4214.871795,4195.384615,4214.871795,Dislike
4213.333333,4205.128205,4209.230769,4202.564103,4231.794872,4181.538462,4198.461538,4196.923077,4180.512821,4232.307692,4202.051282,4214.871795,4197.948718,4220.0,Dislike
4216.923077,4205.128205,4210.769231,4205.128205,4227.179487,4184.615385,4195.384615,4193.846154,4178.461538,4230.769231,4202.564103,4213.846154,4190.769231,4223.076923,Dislike
4209.230769,4185.128205,4208.717949,4189.230769,4224.615385,4181.025641,4195.384615,4192.820513,4185.128205,4230.25641,4193.333333,4214.358974,4178.461538,4217.435897,Dislike
4208.717949,4193.333333,4206.666667,4191.282051,4225.641026,4182.051282,4199.487179,4197.948718,4190.769231,4231.794872,4193.846154,4214.871795,4183.076923,4213.333333,Dislike
