ch_1,ch_2,ch_3,ch_4,ch_5,ch_6,ch_7,ch_8,ch_9,ch_10,ch_11,ch_12,ch_13,ch_14,label
4198.461538,4200.0,4216.923077,4215.897436,4226.153846,4216.410256,4213.846154,4272.307692,4252.307692,4216.410256,4214.871795,4215.384615,4252.820513,4207.179487,Like
4202.051282,4200.512821,4208.205128,4213.333333,4223.589744,4209.230769,4209.74359,4272.820513,4247.179487,4220.512821,4212.307692,4210.25641,4249.230769,4206.153846,Like
4211.282051,4209.230769,4227.179487,4226.666667,4227.179487,4211.794872,4213.333333,4267.692308,4245.641026,4219.487179,4214.358974,4215.384615,4246.153846,4211.794872,Like
4197.948718,4197.435897,4207.179487,4211.282051,4222.051282,4209.74359,4197.948718,4257.948718,4237.435897,4214.871795,4212.307692,4205.128205,4240.0,4203.589744,Like
4188.717949,4195.384615,4206.153846,4210.25641,4223.589744,4211.282051,4192.820513,4258.974359,4236.923077,4222.051282,4210.769231,4210.25641,4233.846154,4204.102564,Like
4187.179487,4193.846154,4210.769231,4206.666667,4222.051282,4211.282051,4192.820513,4250.769231,4225.128205,4227.179487,4205.128205,4214.871795,4223.589744,4204.615385,Like
4188.717949,4185.641026,4197.948718,4198.461538,4216.410256,4209.230769,4192.307692,4249.230769,4216.410256,4222.564103,4202.051282,4209.74359,4217.435897,4200.0,Like
4200.512821,4194.871795,4217.435897,4213.846154,4225.128205,4214.358974,4214.358974,4278.461538,4242.051282,4220.512821,4215.897436,4216.923077,4230.769231,4208.205128,Like
4197.435897,4192.307692,4209.230769,4210.25641,4221.538462,4208.717949,4214.358974,4281.538462,4247.179487,4220.512821,4217.435897,4211.282051,4244.615385,4206.153846,Like
4197.435897,4187.179487,4211.282051,4216.923077,4218.461538,4206.666667,4200.512821,4260.512821,4240.512821,4221.538462,4209.74359,4216.923077,4242.051282,4207.692308,Like
4202.564103,4188.205128,4220.512821,4219.487179,4222.051282,4208.717949,4205.128205,4265.641026,4241.025641,4223.589744,4209.230769,4219.487179,4237.948718,4211.794872,Like
4193.333333,4185.641026,4202.564103,4205.128205,4221.025641,4204.615385,4203.589744,4271.794872,4236.410256,4220.512821,4210.25641,4207.692308,4242.051282,4205.641026,Like
4191.794872,4186.666667,4213.846154,4210.769231,4225.641026,4205.128205,4194.358974,4264.102564,4243.589744,4223.589744,4212.307692,4212.820513,4249.230769,4206.153846,Like
4193.846154,4180.0,4209.230769,4206.666667,4220.512821,4205.128205,4195.384615,4266.666667,4247.692308,4230.25641,4208.717949,4210.25641,4252.820513,4205.641026,Like
4198.461538,4183.076923,4209.74359,4211.794872,4220.512821,4208.205128,4205.641026,4271.282051,4252.820513,4225.128205,4211.794872,4212.820513,4257.948718,4211.282051,Like
4192.820513,4184.102564,4212.307692,4210.769231,4227.179487,4207.692308,4194.358974,4255.897436,4249.230769,4214.871795,4216.410256,4211.794872,4258.974359,4210.769231,Like
4173.846154,4172.820513,4189.230769,4190.769231,4222.564103,4202.564103,4174.358974,4248.717949,4236.410256,4219.487179,4210.769231,4198.461538,4255.384615,4200.0,Like
4176.410256,4174.871795,4205.641026,4194.871795,4222.564103,4207.692308,4185.128205,4264.102564,4247.179487,4228.205128,4211.794872,4206.666667,4261.538462,4207.179487,Like
4179.487179,4180.0,4205.641026,4190.769231,4219.487179,4208.717949,4191.794872,4264.102564,4247.179487,4222.564103,4211.794872,4205.641026,4267.179487,4210.25641,Like
4171.794872,4190.769231,4197.948718,4187.179487,4221.025641,4206.153846,4190.769231,4258.974359,4241.538462,4217.435897,4209.230769,4204.102564,4262.051282,4207.179487,Like
4163.076923,4192.820513,4202.564103,4182.564103,4226.666667,4206.153846,4192.820513,4268.717949,4245.641026,4222.051282,4203.589744,4204.615385,4253.333333,4202.564103,Like
4157.435897,4184.615385,4187.179487,4173.846154,4222.564103,4204.102564,4186.666667,4270.25641,4238.974359,4225.641026,4198.461538,4198.461538,4252.307692,4196.410256,Like
4168.717949,4190.769231,4204.615385,4191.794872,4224.615385,4208.717949,4191.794872,4264.102564,4244.615385,4219.487179,4207.179487,4211.282051,4261.538462,4207.692308,Like
4171.282051,4179.487179,4204.102564,4188.717949,4224.615385,4204.102564,4203.589744,4269.74359,4251.282051,4214.358974,4211.282051,4207.179487,4263.589744,4210.25641,Like
4171.282051,4169.74359,4198.974359,4182.564103,4225.641026,4195.897436,4205.641026,4274.871795,4252.820513,4220.0,4209.230769,4205.128205,4263.076923,4208.717949,Like
4181.538462,4175.897436,4215.384615,4191.794872,4227.692308,4195.897436,4196.923077,4264.615385,4254.358974,4227.179487,4216.410256,4219.487179,4272.307692,4213.846154,Like
4178.974359,4173.846154,4197.948718,4183.589744,4219.487179,4192.307692,4186.153846,4258.974359,4250.25641,4226.153846,4217.435897,4213.846154,4273.333333,4211.794872,Like
4172.820513,4175.384615,4201.025641,4188.205128,4224.102564,4195.897436,4188.205128,4263.589744,4254.871795,4224.102564,4211.794872,4211.282051,4262.564103,4208.717949,Like
4168.205128,4169.74359,4199.487179,4183.589744,4226.153846,4196.410256,4191.282051,4265.128205,4253.333333,4223.589744,4206.666667,4207.179487,4261.538462,4201.538462,Like
4177.948718,4170.769231,4198.974359,4180.512821,4220.0,4194.358974,4199.487179,4270.769231,4255.897436,4225.128205,4209.74359,4210.769231,4273.846154,4208.205128,Like
4194.358974,4182.051282,4217.435897,4192.307692,4223.076923,4199.487179,4209.230769,4274.871795,4264.615385,4223.589744,4216.410256,4220.512821,4273.333333,4222.564103,Like
4184.102564,4172.820513,4198.461538,4184.102564,4221.025641,4197.948718,4205.641026,4273.333333,4257.435897,4219.487179,4211.282051,4208.717949,4262.051282,4213.846154,Like
4182.051282,4170.25641,4206.153846,4187.692308,4221.538462,4195.897436,4208.205128,4275.897436,4261.538462,4222.564103,4209.74359,4211.794872,4265.641026,4209.74359,Like
4184.615385,4174.871795,4208.717949,4185.128205,4218.461538,4194.871795,4205.128205,4272.307692,4261.538462,4229.230769,4208.717949,4210.25641,4269.74359,4208.205128,Like
4172.307692,4173.846154,4193.846154,4181.025641,4218.974359,4197.435897,4198.974359,4264.615385,4253.333333,4226.666667,4202.564103,4199.487179,4256.923077,4201.538462,Like
4171.794872,4179.487179,4208.205128,4191.282051,4226.153846,4201.538462,4207.179487,4270.769231,4258.974359,4217.948718,4202.564103,4204.102564,4253.333333,4205.128205,Like
4171.794872,4173.333333,4189.230769,4178.974359,4217.435897,4194.871795,4200.0,4273.846154,4249.74359,4218.461538,4200.0,4197.435897,4253.846154,4203.589744,Like
4174.871795,4171.794872,4191.794872,4184.615385,4217.948718,4197.948718,4197.435897,4264.615385,4243.076923,4221.538462,4197.435897,4203.076923,4243.076923,4207.179487,Like
4183.076923,4177.435897,4207.179487,4190.769231,4223.589744,4205.128205,4211.282051,4258.461538,4247.692308,4221.025641,4196.923077,4206.666667,4241.538462,4210.25641,Like
4192.820513,4185.128205,4196.410256,4185.641026,4221.025641,4205.641026,4220.0,4267.179487,4257.435897,4222.564103,4201.025641,4200.0,4255.897436,4206.666667,Like
4204.615385,4189.74359,4210.25641,4194.358974,4224.615385,4209.74359,4223.076923,4283.589744,4276.410256,4220.0,4207.692308,4209.230769,4260.512821,4207.692308,Like
4197.435897,4172.820513,4201.025641,4184.615385,4219.487179,4208.205128,4210.25641,4281.025641,4271.282051,4216.923077,4202.564103,4206.153846,4258.461538,4204.102564,Like
4194.358974,4176.923077,4198.974359,4189.74359,4220.512821,4210.769231,4208.717949,4272.307692,4270.25641,4220.0,4203.589744,4208.205128,4269.230769,4209.74359,Like
4191.282051,4192.820513,4200.512821,4194.358974,4225.128205,4212.307692,4214.358974,4275.897436,4281.025641,4221.025641,4204.615385,4205.128205,4268.717949,4208.205128,Like
4183.589744,4191.282051,4187.692308,4185.128205,4220.0,4207.179487,4200.512821,4279.487179,4278.974359,4221.025641,4197.948718,4196.923077,4255.384615,4197.948718,Like
4195.897436,4195.897436,4210.25641,4200.512821,4223.589744,4210.25641,4197.948718,4276.923077,4280.0,4225.641026,4201.538462,4211.282051,4258.461538,4210.25641,Like
4205.128205,4194.871795,4206.153846,4198.974359,4220.0,4205.641026,4204.102564,4270.25641,4273.846154,4222.051282,4203.589744,4209.74359,4267.692308,4217.435897,Like
4208.205128,4191.794872,4200.512821,4195.384615,4218.974359,4202.051282,4203.589744,4274.871795,4277.435897,4217.948718,4202.564103,4209.74359,4264.615385,4214.871795,Like
4201.538462,4190.25641,4203.076923,4190.769231,4222.564103,4200.512821,4187.692308,4274.358974,4277.435897,4225.128205,4201.025641,4213.846154,4257.948718,4208.717949,Like
4196.410256,4190.25641,4188.717949,4182.051282,4217.435897,4195.384615,4186.666667,4265.128205,4264.615385,4228.205128,4200.512821,4209.74359,4262.051282,4205.641026,Like
