ch_1,ch_2,ch_3,ch_4,ch_5,ch_6,ch_7,ch_8,ch_9,ch_10,ch_11,ch_12,ch_13,ch_14,label
4223.076923,4199.487179,4218.461538,4201.538462,4225.641026,4215.384615,4215.897436,4236.923077,4217.948718,4234.871795,4204.615385,4196.410256,4212.820513,4154.871795,Like
4224.615385,4207.179487,4218.974359,4207.692308,4226.666667,4219.487179,4223.589744,4222.564103,4217.435897,4231.282051,4208.205128,4201.538462,4211.794872,4165.128205,Like
4227.692308,4208.205128,4221.025641,4211.794872,4225.128205,4223.589744,4227.692308,4228.205128,4220.512821,4222.564103,4212.820513,4196.410256,4213.333333,4168.205128,Like
4227.179487,4208.717949,4221.025641,4213.333333,4228.717949,4224.102564,4221.025641,4231.282051,4218.974359,4223.076923,4207.692308,4197.948718,4212.307692,4170.25641,Like
4227.692308,4221.025641,4225.641026,4219.487179,4229.230769,4221.538462,4214.358974,4223.589744,4223.589744,4229.74359,4211.794872,4198.461538,4214.871795,4180.512821,Like
4234.358974,4225.128205,4233.846154,4223.589744,4225.641026,4225.128205,4214.358974,4223.589744,4228.205128,4231.794872,4220.0,4203.589744,4220.0,4192.307692,Like
4241.538462,4223.589744,4241.025641,4229.230769,4224.102564,4230.769231,4226.153846,4234.358974,4233.846154,4227.692308,4222.564103,4211.794872,4224.102564,4196.923077,Like
4240.512821,4226.153846,4241.538462,4231.794872,4223.076923,4229.230769,4234.871795,4237.435897,4235.897436,4228.717949,4224.615385,4207.179487,4222.564103,4199.487179,Like
4234.871795,4224.102564,4235.897436,4222.564103,4227.179487,4225.641026,4229.230769,4226.153846,4224.615385,4234.871795,4222.051282,4208.205128,4212.820513,4206.666667,Like
4230.25641,4221.025641,4228.205128,4217.948718,4227.179487,4221.538462,4225.641026,4235.384615,4227.179487,4231.794872,4220.512821,4204.615385,4212.307692,4215.384615,Like
4224.615385,4218.461538,4223.589744,4219.487179,4225.128205,4220.0,4218.974359,4237.948718,4232.820513,4224.615385,4217.435897,4201.025641,4207.692308,4220.512821,Like
4220.512821,4216.410256,4221.538462,4219.487179,4225.641026,4222.051282,4214.358974,4215.384615,4217.948718,4225.641026,4209.230769,4202.564103,4194.871795,4223.589744,Like
4227.179487,4221.538462,4225.641026,4224.615385,4222.051282,4220.512821,4223.589744,4225.641026,4222.051282,4226.666667,4212.820513,4198.974359,4197.948718,4230.25641,Like
4232.820513,4222.051282,4229.230769,4223.589744,4224.102564,4216.410256,4225.641026,4244.615385,4238.461538,4225.641026,4222.051282,4205.641026,4204.615385,4234.871795,Like
4231.794872,4225.128205,4229.230769,4223.589744,4226.153846,4218.461538,4223.076923,4235.384615,4238.974359,4227.179487,4226.153846,4209.230769,4210.769231,4235.384615,Like
4234.871795,4233.333333,4232.820513,4232.820513,4224.102564,4224.102564,4227.692308,4233.333333,4245.128205,4227.692308,4227.179487,4210.25641,4217.435897,4235.384615,Like
4233.846154,4225.641026,4228.205128,4227.179487,4227.179487,4223.076923,4227.692308,4240.0,4244.615385,4227.692308,4219.487179,4208.205128,4207.179487,4238.974359,Like
4225.641026,4216.410256,4216.410256,4214.871795,4226.153846,4216.923077,4224.615385,4234.358974,4227.179487,4226.666667,4211.282051,4195.897436,4194.358974,4242.051282,Like
4228.717949,4221.538462,4219.487179,4217.948718,4224.615385,4219.487179,4226.666667,4233.846154,4230.25641,4227.692308,4216.410256,4203.076923,4199.487179,4245.128205,Like
4230.25641,4223.589744,4223.076923,4224.102564,4222.564103,4221.538462,4224.615385,4238.974359,4244.615385,4230.25641,4224.615385,4209.230769,4208.205128,4246.153846,Like
4221.025641,4214.871795,4212.307692,4216.923077,4224.102564,4215.897436,4219.487179,4232.820513,4237.435897,4229.230769,4218.461538,4201.025641,4202.051282,4242.564103,Like
4222.051282,4218.974359,4210.769231,4213.846154,4229.230769,4216.923077,4225.641026,4241.025641,4240.0,4225.128205,4217.435897,4203.589744,4196.923077,4244.102564,Like
4227.692308,4227.179487,4215.384615,4217.435897,4223.076923,4218.974359,4231.794872,4253.333333,4255.384615,4226.666667,4225.128205,4200.0,4201.538462,4246.666667,Like
4221.538462,4220.0,4210.25641,4212.307692,4223.076923,4220.512821,4226.666667,4242.564103,4245.641026,4230.25641,4218.974359,4197.948718,4196.923077,4242.564103,Like
4213.846154,4211.794872,4200.512821,4206.666667,4227.179487,4217.948718,4215.897436,4228.717949,4221.538462,4228.205128,4205.641026,4193.333333,4186.666667,4235.897436,Like
