ch_1,ch_2,ch_3,ch_4,ch_5,ch_6,ch_7,ch_8,ch_9,ch_10,ch_11,ch_12,ch_13,ch_14,label
4247.179487,4212.307692,4275.897436,4224.615385,4213.846154,4206.666667,4241.538462,4217.948718,4191.282051,4227.179487,4172.307692,4194.358974,4276.923077,4228.717949,Like
4256.923077,4213.333333,4286.153846,4229.74359,4211.794872,4214.871795,4254.871795,4221.538462,4189.74359,4226.153846,4172.820513,4200.512821,4289.74359,4227.692308,Like
4252.307692,4220.0,4283.589744,4227.179487,4210.769231,4206.666667,4242.051282,4215.384615,4188.205128,4220.512821,4173.333333,4195.384615,4283.076923,4226.153846,Like
4264.615385,4237.435897,4288.205128,4231.282051,4218.461538,4205.641026,4243.589744,4220.512821,4196.923077,4221.538462,4175.897436,4200.0,4277.435897,4232.307692,Like
4280.0,4242.564103,4297.435897,4235.897436,4215.384615,4208.205128,4252.820513,4223.076923,4196.410256,4226.666667,4174.871795,4205.128205,4288.205128,4228.205128,Like
4281.025641,4245.128205,4293.333333,4238.974359,4215.384615,4205.641026,4245.128205,4215.897436,4188.717949,4228.717949,4176.923077,4204.102564,4295.897436,4234.871795,Like
4301.025641,4252.307692,4306.153846,4245.128205,4216.410256,4212.307692,4251.794872,4216.923077,4198.461538,4225.641026,4182.051282,4213.846154,4314.871795,4243.076923,Like
4323.589744,4255.897436,4320.0,4250.769231,4213.846154,4217.948718,4260.512821,4225.641026,4204.615385,4224.615385,4183.589744,4222.051282,4332.820513,4242.564103,Like
4327.179487,4257.435897,4319.487179,4255.897436,4214.871795,4208.717949,4250.769231,4225.641026,4195.384615,4225.128205,4183.589744,4216.410256,4332.307692,4242.051282,Like
4334.871795,4254.871795,4326.153846,4257.948718,4214.358974,4202.564103,4243.076923,4220.0,4192.307692,4225.641026,4183.076923,4213.333333,4336.410256,4241.538462,Like
4349.230769,4261.538462,4336.410256,4264.615385,4221.025641,4213.846154,4250.769231,4220.0,4197.948718,4226.153846,4187.179487,4224.615385,4345.128205,4246.666667,Like
4344.615385,4261.538462,4332.820513,4263.589744,4219.487179,4218.974359,4258.974359,4220.512821,4194.871795,4222.051282,4188.205128,4228.205128,4343.076923,4236.410256,Like
4329.74359,4253.333333,4320.0,4255.897436,4211.282051,4207.179487,4246.153846,4221.538462,4194.358974,4223.589744,4183.076923,4220.512821,4335.384615,4233.846154,Like
4335.897436,4257.435897,4323.076923,4263.076923,4217.948718,4209.74359,4244.102564,4222.564103,4207.179487,4226.153846,4185.128205,4223.589744,4334.871795,4248.205128,Like
