ch_1,ch_2,ch_3,ch_4,ch_5,ch_6,ch_7,ch_8,ch_9,ch_10,ch_11,ch_12,ch_13,ch_14,label
4293.846154,4312.307692,4294.358974,4354.358974,4214.871795,4286.666667,4284.102564,4329.74359,4338.974359,4215.897436,4301.538462,4232.820513,4320.512821,4261.025641,Like
4287.179487,4308.717949,4286.153846,4350.25641,4215.384615,4286.153846,4280.0,4324.102564,4334.871795,4217.435897,4286.153846,4229.74359,4320.0,4259.487179,Like
4288.205128,4305.641026,4286.153846,4342.051282,4217.435897,4290.25641,4283.589744,4326.666667,4333.846154,4217.948718,4300.0,4231.282051,4320.0,4262.564103,Like
4294.358974,4308.205128,4289.230769,4340.0,4212.820513,4289.230769,4290.25641,4331.794872,4328.717949,4216.923077,4300.512821,4229.230769,4315.384615,4261.538462,Like
4293.333333,4310.769231,4294.358974,4345.128205,4220.0,4290.769231,4288.717949,4322.051282,4317.435897,4217.435897,4308.205128,4231.794872,4309.74359,4265.641026,Like
4287.692308,4309.74359,4291.282051,4345.128205,4218.461538,4293.333333,4286.153846,4308.205128,4318.974359,4217.948718,4334.871795,4228.205128,4311.794872,4265.128205,Like
4289.230769,4305.641026,4291.794872,4337.435897,4214.871795,4292.820513,4291.794872,4317.435897,4329.230769,4217.435897,4348.205128,4230.25641,4315.897436,4270.769231,Like
4255.384615,4267.692308,4274.358974,4291.282051,4214.871795,4263.589744,4262.564103,4281.538462,4277.435897,4218.461538,4293.846154,4226.666667,4273.846154,4270.769231,Like
4258.974359,4265.128205,4274.358974,4292.820513,4213.846154,4262.564103,4260.0,4288.205128,4280.512821,4216.923077,4281.538462,4223.589744,4266.666667,4257.948718,Like
4261.538462,4271.282051,4274.871795,4295.384615,4220.512821,4266.153846,4262.051282,4292.820513,4287.179487,4216.923077,4267.179487,4223.076923,4259.487179,4249.74359,Like
4244.615385,4265.641026,4251.794872,4281.025641,4215.897436,4262.564103,4255.897436,4279.487179,4275.897436,4217.435897,4246.153846,4216.410256,4254.358974,4230.769231,Like
4242.564103,4261.025641,4243.589744,4273.333333,4218.461538,4253.333333,4249.230769,4269.74359,4269.74359,4216.923077,4239.487179,4222.564103,4258.974359,4226.666667,Like
4256.923077,4267.179487,4252.820513,4283.589744,4219.487179,4250.769231,4252.307692,4271.282051,4263.589744,4216.923077,4247.179487,4227.179487,4265.641026,4231.282051,Like
4252.307692,4261.538462,4250.25641,4278.974359,4214.358974,4252.820513,4253.846154,4267.179487,4245.128205,4217.435897,4247.692308,4220.0,4261.025641,4226.153846,Like
4242.051282,4243.076923,4249.230769,4260.512821,4218.974359,4254.871795,4253.333333,4268.205128,4251.282051,4217.948718,4247.692308,4219.487179,4255.384615,4223.076923,Like
4252.820513,4247.179487,4257.435897,4268.717949,4215.384615,4256.410256,4260.0,4281.025641,4276.923077,4217.948718,4262.051282,4223.076923,4263.589744,4224.615385,Like
4263.589744,4259.487179,4264.102564,4281.025641,4217.948718,4255.897436,4267.692308,4284.615385,4276.923077,4217.435897,4273.846154,4226.666667,4264.102564,4227.692308,Like
4251.282051,4251.282051,4253.333333,4271.794872,4221.025641,4251.794872,4264.102564,4270.25641,4257.435897,4217.435897,4261.025641,4221.025641,4251.794872,4216.923077,Like
4243.589744,4243.076923,4244.102564,4270.769231,4215.897436,4250.769231,4256.410256,4266.153846,4260.512821,4217.948718,4250.769231,4217.435897,4245.128205,4208.717949,Like
4254.358974,4251.282051,4254.358974,4280.512821,4220.0,4252.820513,4257.435897,4275.897436,4269.230769,4217.948718,4282.051282,4223.076923,4247.692308,4216.410256,Like
4255.897436,4249.74359,4254.871795,4269.74359,4218.461538,4250.25641,4256.410256,4267.179487,4252.307692,4216.923077,4324.615385,4219.487179,4255.897436,4209.230769,Like
4251.794872,4242.564103,4252.820513,4258.974359,4217.948718,4251.794872,4253.333333,4254.358974,4247.179487,4216.923077,4341.538462,4220.0,4264.102564,4204.615385,Like
4259.487179,4257.948718,4261.538462,4275.897436,4217.948718,4254.358974,4256.923077,4260.0,4264.615385,4216.923077,4363.076923,4224.615385,4266.666667,4205.128205,Like
4263.076923,4270.25641,4263.076923,4284.102564,4213.333333,4252.820513,4257.948718,4263.076923,4256.410256,4217.948718,4382.051282,4222.564103,4264.102564,4195.897436,Like
4257.948718,4257.948718,4261.025641,4272.820513,4217.948718,4254.871795,4251.794872,4260.0,4245.641026,4217.435897,4356.923077,4222.051282,4261.538462,4194.358974,Like
4258.461538,4255.897436,4259.487179,4276.923077,4216.410256,4258.461538,4256.410256,4261.025641,4265.128205,4215.384615,4339.487179,4216.410256,4262.564103,4191.794872,Like
4261.025641,4263.076923,4258.461538,4285.641026,4215.897436,4256.410256,4264.615385,4263.076923,4270.25641,4215.897436,4365.128205,4217.435897,4263.076923,4186.666667,Like
4255.897436,4261.025641,4256.923077,4279.487179,4218.974359,4255.384615,4264.615385,4264.615385,4262.564103,4218.461538,4370.25641,4219.487179,4260.0,4182.051282,Like
4251.282051,4253.846154,4258.974359,4271.282051,4215.897436,4256.923077,4265.128205,4266.666667,4270.25641,4217.435897,4355.897436,4212.307692,4258.461538,4173.333333,Like
4261.538462,4261.538462,4268.717949,4277.948718,4221.538462,4255.384615,4268.205128,4266.666667,4278.461538,4215.897436,4369.230769,4214.358974,4263.589744,4171.794872,Like
4275.897436,4281.025641,4275.384615,4293.846154,4217.435897,4256.923077,4270.25641,4268.205128,4276.410256,4215.897436,4383.589744,4214.358974,4274.358974,4165.641026,Like
4280.512821,4286.153846,4282.051282,4303.076923,4212.307692,4265.641026,4275.384615,4277.435897,4280.512821,4217.435897,4371.794872,4213.846154,4289.230769,4160.512821,Like
4281.538462,4275.897436,4287.692308,4296.923077,4219.487179,4271.282051,4279.487179,4283.589744,4286.153846,4218.974359,4354.871795,4217.948718,4294.358974,4160.0,Like
4289.74359,4282.564103,4288.205128,4300.512821,4216.410256,4271.794872,4284.102564,4283.076923,4289.230769,4217.948718,4357.435897,4216.410256,4288.717949,4153.333333,Like
4301.538462,4305.128205,4297.948718,4319.487179,4217.435897,4279.487179,4296.923077,4293.333333,4294.871795,4216.923077,4363.076923,4224.102564,4290.25641,4154.358974,Like
4301.025641,4308.717949,4300.512821,4315.384615,4217.435897,4289.74359,4305.641026,4297.435897,4293.846154,4217.435897,4342.051282,4226.153846,4294.871795,4149.74359,Like
